ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20235,Layout space description,3D function,"Describing text for the layout space is displayed, e.g. in the tree view of the layout space navigator or in reports. Line breaks are permitted.",Data,Multilingual text,Not defined,No,Yes,FUNC_ARTICLEPLACEMENT_INSTALLATIONSPACE_DESCRIPTION
20261,Layout space name (of the part placement),3D function,Displays at a part placement the name of the layout space in which the corresponding item is placed.,Data,Monolingual text,Not defined,No,Yes,FUNC_ARTICLEPLACEMENT_INSTALLATIONSPACE
36000,Item designation,3D function,"Contains the item designation of a mechanical item. This property is particularly useful for items that do not have a DT, e.g. cable ducts.",Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_DESIGNATION
36002,Grouping sign for item designation (automatic),3D function,"Shows the contents of the ""Grouping sign for item designation"" property (ID 36012). If no preceding sign is entered for the item, this is defined from the first superior item for which a preceding sign is entered in the ""Grouping sign for item designation"" property.",Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_DESIGNATIONPREFIX_AUTOMATIC
36003,"Mounting site (describing, common)",3D function,"Shows the contents of the manually entered ""Mounting site (describing)"" property or if this is empty, the ""Mounting site (describing)"" property entered at the main function.",Data,Multilingual text,Not defined,No,Yes,FUNCTION3D_MOUNTINGLOCATION_AUTOMATIC
36004,Machining,3D function,"Specifies whether machining is necessary (e.g., a drill hole).",Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_ISFORMECHANICALPROCESSING
36005,Local connection point pattern,3D function,"If this property is activated, the connection point data is saved locally at the part placement.",Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_ARTICLETERMINAL_ISLOCAL
36006,Cut-out: Diameter of the hole,3D function,Drill hole diameter. The units are imported from the project settings or converted to mm in case of input in inches.,Data,Value with unit,Not defined,No,Yes,FUNCTION3D_OPENING_DIAMETER
36007,Cut-out: Nominal diameter of the threaded hole,3D function,Nominal diameter of the threaded hole. The units are imported from the project settings or converted to mm in case of input in inches.,Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_OPENING_NOMINAL_DIAMETER
36010,Item is immovably attached to the superior item,3D function,"If this property is enabled, then the item cannot be moved relative to the superior item. Moving the entire mounting panel by means of the ""Move"" functionality is still possible. The fixation can be temporarily revoked for individual items by pressing the [Shift] key while moving via Drag & Drop.",Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_ELEM_ISFIXONPARENT
36011,Prefabricated,3D function,Indicates whether form and dimensions of an item can be modified.,Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_ISPREFABRICATED
36012,Grouping sign for item designation,3D function,"Shows a grouping preceding sign for item designation for the item and all subordinate items, which provides for better arrangement of parts. The preceding sign is displayed in the ""Full item designation"" property and placed before the actual item designation.",Data,Monolingual text,Not defined,No,No,FUNCTION3D_DESIGNATIONPREFIX
36013,Full item designation,3D function,Contains the item designation of a mechanical item including the preceding sign for the item designation. The preceding sign is usually taken from the enclosure.,Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_FULLDESIGNATION
36014,Item requires holes in mounting surface,3D function,Specifies whether a drill hole is required for an item that has been placed on a mounting surface.,Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_ELEM_NEEDSDRILL
36015,Is associated mounting material,3D function,,Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_ISINSTALLATIONMATERIAL
36016,Designation in mechanics structure,3D function,"Provides the designation, which has the function or mechanical item within the mechanical structure for identification purposes. This is the DT for electrical engineering or fluid power functions, and the designation for mechanical items.",Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_IDENTNAME_IN_MECHANICAL_STRUCTURE
36017,Distance to mounting surface,3D function,"If an offset was entered during the placement of a part, this property will display the distance of the part placement from the mounting surface.",Data,Decimal number,Not defined,No,No,FUNCTION3D_MOUNTINGPLATEDISTANCE
36018,Item description,3D function,"Contains the item description of a mechanical item. This property is particularly useful for items that do not have a DT, e.g. cable ducts.",Data,Multilingual text,Not defined,No,No,FUNCTION3D_DESCRIPTION
36020,Cut-out: Width,3D function,Width of the cut-out. The units are imported from the project settings or converted to mm in case of input in inches.,Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_OPENING_WIDTH
36021,Cut-out: Height,3D function,Height of the cut-out. The units are imported from the project settings or converted to mm in case of input in inches.,Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_OPENING_HEIGHT
36022,Cut-out: Length,3D function,Length of the cut-out. The units are imported from the project settings or converted to mm in case of input in inches.,Data,Value with unit,Not defined,No,Yes,FUNCTION3D_OPENING_LENGTH
36023,Cut-out: Radius / Chamfer distance,3D function,Radius and / or chamfer distance of the cut-out.,Data,Value with unit,Not defined,No,Yes,FUNCTION3D_OPENING_CHAMFER_OR_RADIUS
36024,Cut-out: Edge length,3D function,Edge length of the cut-out. The units are imported from the project settings or converted to mm in case of input in inches.,Data,Value with unit,Not defined,No,Yes,FUNCTION3D_OPENING_EDGE_LENGTH
36025,Cut-out: Outline,3D function,"Outline of the cut-out. Here, the file name of a user-defined outline file (*.fc1) is displayed.",Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_OPENING_CONTOUR
36027,Routing path / Curve: Length,3D function,Manually entered length of a routing path or curve placed in the layout space. Is used during routing to calculate the precise length of the associated connection.,Data,Coordinates (only X or Y),Not defined,No,No,FUNCTION3D_ROUTING_SEGMENT_LENGTH_MANUAL
36028,Routing path / Curve: Length (automatic),3D function,"Length of a routing path or curve placed in the layout space. Is used during routing to calculate the precise length of the associated connection. Shows the content of the manually entered length or, when that is empty, the geometric length in the layout space.",Data,Coordinates (only X or Y),Not defined,No,Yes,FUNCTION3D_ROUTING_SEGMENT_LENGTH_AUTOMATIC
36029,Routing path / Curve: Cross-section,3D function,Cross-section of a routing path or curve. Is used for calculating the fill capacity of channel.,Data,Value with unit,Not defined,No,No,FUNCTION3D_ROUTING_SEGMENT_CROSSSECTION
36030,Routing path / Curve: Automatically generated,3D function,"Indicates that the routing path or curve was generated automatically (e.g., for routing paths in channels).",Data,Boolean (True / False),Not defined,No,Yes,FUNCTION3D_ROUTING_SEGMENT_CREATED_AUTOMATICALLY
36031,Extra length,3D function,The extra length indicates the length that is added once to a connection running through a routing range.,Data,Coordinates (only X or Y),Not defined,No,No,FUNCTION3D_ROUTING_WIRING_OPENING_EXTRALENGTH
36034,"Counter in item ID (relative to macro, EEC)",3D function,"The counter is assigned automatically at the 3D part placements of the macro when reading in a macro in Eplan Engineering Configuration and is used by the Item ID (relative to macro, EEC) property. If the individual 3D part placements cannot be uniquely identified by ""Function definition"" and ""Item"" at a part that consists of several combined 3D part placements, these are additionally identified via the counter.",Data,Integer,Not defined,No,No,FUNCTION3D_IDCOUNTER_RELATIVE
36035,"Item ID (relative to macro, EEC)",3D function,Identifies the individual 3D part placements for a part that consists of several combined 3D part placements. The property is required by the Eplan Engineering Configuration in order to define the items of a macro on which other items are installed.,Data,Monolingual text,Not defined,No,Yes,FUNCTION3D_ID_RELATIVE
36036,Multiple cut-out possible,3D function,"Indicates whether multiple cut-outs are possible for an item, and allows for the ""inheriting"" of cut-outs. This way, cut-outs can be carried over from a drilling pattern to another item.",Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_CANHAVE_MULTI_OPENING
36037,Cut-out depth (copper),3D function,Cut-out depth for automatic drill holes.,Data,Monolingual text,Not defined,No,No,FUNCTION3D_OPENING_DEPTH_COPPER
36041,Variable for placeable functions (EEC One),3D function,"The property serves to identify 3D part placements in EEC One, so that specific other 3D part placements can be placed automatically on them during the automatic generation of a layout space.",Data,Monolingual text,Not defined,No,No,FUNCTION3D_ID_EEC_ONE
36042,Name of the M-CAD file,3D function,This property is used during data exchange with external CAD systems. The full file name and the full file path of the imported STEP file is stored in this property and is entered at the created design space and at the imported 3D objects.,Data,Monolingual text,Not defined,No,No,FUNCTION3D_DOCNAME
36100,Object was transferred during part migration,3D function,Identifies objects that were transferred unchanged after the migration of the part.,Data,Boolean (True / False),Not defined,No,No,FUNCTION3D_OUTDATED
36103,Has mounting lines,3D function,Specifies whether the item has mounting lines.,Data,Boolean (True / False),Not defined,No,Yes,FUNCTION3D_HAS_MOUNTINGLINES
36104,Has mounting points,3D function,Specifies whether the item has mounting points.,Data,Boolean (True / False),Not defined,No,Yes,FUNCTION3D_HAS_MOUNTINGPOINTS
36105,Has mounting grid,3D function,Specifies whether the item has mounting grids.,Data,Boolean (True / False),Not defined,No,Yes,FUNCTION3D_HAS_MOUNTINGGRIDS
36106,Has base points,3D function,Specifies whether the item has base points.,Data,Boolean (True / False),Not defined,No,Yes,FUNCTION3D_HAS_REFERENCEPOINTS
