ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
31027,Associated connections: Device tag (identifying),Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Monolingual text,Not defined,No,Yes,CDP_CON_DT
31028,Associated connections: Connection designation,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Monolingual text,Not defined,No,Yes,CDP_CON_DESIGNATION
31029,Associated connections: Connection cross-section / diameter,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Value with unit,Not defined,No,Yes,CDP_CON_WIRECROSSSECTION
31031,Associated connections: Connection: Color / number,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Monolingual text,Not defined,No,Yes,CDP_CON_WIRENUMBER
31032,Associated connections: Connection description,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Multilingual text,Not defined,No,Yes,CDP_CON_DESCRIPTION
31033,Associated connections: Length,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Value with unit,Not defined,No,Yes,CDP_CON_WIRELENGTH
31034,Associated connections: Remark,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Multilingual text,Not defined,No,Yes,CDP_CON_NOTE
31035,Associated connections: Function definition,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Multilingual text,Not defined,No,Yes,CDP_CON_TYPE
31036,Associated connections: Exchange source and target,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Boolean (True / False),Not defined,No,Yes,CDP_CON_SWAP_SRC_DEST
31062,Associated connections: Potential type,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Integer,Not defined,No,Yes,CDP_CON_POTENTIAL_TYPE
31063,Associated connections: Unit of connection cross-section / diameter (automatic),Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Monolingual text,Not defined,No,Yes,CDP_CON_AUTO_WIRECROSSSECTION_UNIT
31066,Associated connections: Trade,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Integer,Not defined,No,Yes,CDP_CON_CRAFT
31067,Associated connections: Subtrade,Connection definition point,"This property is no longer in use and only taken into consideration in old projects. On a connection definition point, this shows the corresponding property of the connection running below the connection definition point.",Data,Multilingual text,Not defined,No,Yes,CDP_CON_SUBCRAFT
