ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
35550,Connection point designation,Connection point (in connection point patterns),"Designation of the connection point in the connection point pattern (entered on the ""Connection points"" tab for connection point patterns in parts management).",Data,Monolingual text,Not defined,No,No,ARTICLETERMINALPOSITION_NAME
35551,X position,Connection point (in connection point patterns),X position of the connection point in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_XPOS
35552,Y position,Connection point (in connection point patterns),Y position of the connection point in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_YPOS
35553,Z position,Connection point (in connection point patterns),Z position of the connection point in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_ZPOS
35554,Routing direction,Connection point (in connection point patterns),"Routing direction of an individual connection point in the connection point pattern, which is selected from a drop-down list.",Data,Integer,Not defined,No,No,ARTICLETERMINALPOSITION_DIRECTION
35555,Additional length,Connection point (in connection point patterns),Additional length of an individual connection point in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_ADDITIONALLENGTH
35556,Wire termination processing (Eplan Cabinet),Connection point (in connection point patterns),"This property is only required for reasons of compatibility with Eplan Cabinet. For a connection point, this shows how the end of the connection is handled, for example with stripping or crimping. Is selected from a drop-down list in parts management on the Connection points tab where user-defined values can also be assigned.",Data,Integer,Not defined,No,No,ARTICLETERMINALPOSITION_CONTACTTYPE
35557,Min. cross-section,Connection point (in connection point patterns),Minimum connection cross-section to be connected for a connection point in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_MINCROSSSECTION
35558,Max. cross-section,Connection point (in connection point patterns),Maximum connection cross-section to be connected for a connection point in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_MAXCROSSSECTION
35559,Max. number of connections,Connection point (in connection point patterns),Maximum number of connections that can be connected to the connection point; defined in the connection point pattern.,Data,Integer,Not defined,No,No,ARTICLETERMINALPOSITION_MAXWIRECOUNT
35560,Dual sleeve prescribed,Connection point (in connection point patterns),Specifies for a connection point in the connection point pattern that dual sleeves are to be used if two connections lead to this connection point.,Data,Boolean (True / False),Not defined,No,No,ARTICLETERMINALPOSITION_TWINSLEEVE
35561,Connection category,Connection point (in connection point patterns),Specifies the connection point type of a connection more exactly for an individual connection in the connection point pattern:,Data,Integer,Not defined,No,No,ARTICLETERMINALPOSITION_TYPEOFTERMINAL
35562,Connection dimension,Connection point (in connection point patterns),"A connection dimension can be specified in this property for bolt connections, flat plug-in connectors, band connections, rail connections, internal threads and external threads.",Data,Value with unit,Not defined,No,No,ARTICLETERMINALPOSITION_TERMINALSIZE
35563,Plug designation,Connection point (in connection point patterns),Plug designation of the connection point in the connection point pattern.,Data,Monolingual text,Not defined,No,No,ARTICLETERMINALPOSITION_DEVICETAG
35564,Level,Connection point (in connection point patterns),Level of the connection point (if it is a terminal) in the connection point pattern.,Data,Integer,Not defined,No,No,ARTICLETERMINALPOSITION_LEVEL
35565,Internal / External index,Connection point (in connection point patterns),Defines for a connection point in the connection point pattern the number of the internal or external connection point that this connection point represents.,Data,Integer,Not defined,No,No,ARTICLETERMINALPOSITION_TARGETINFO
35567,X vector,Connection point (in connection point patterns),X-vector of the connection point direction in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_XDIR
35568,Y vector,Connection point (in connection point patterns),Y-vector of the connection point direction in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_YDIR
35569,Z vector,Connection point (in connection point patterns),Z-vector of the connection point direction in the connection point pattern.,Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_ZDIR
35571,Min. AWG,Connection point (in connection point patterns),Minimum connection cross-section to be connected for a connection point in the connection point pattern.,Data,Monolingual text,Not defined,No,No,ARTICLETERMINALPOSITION_MINCROSSSECTION_AWG
35572,Max. AWG,Connection point (in connection point patterns),Maximum connection cross-section to be connected for a connection point in the connection point pattern.,Data,Monolingual text,Not defined,No,No,ARTICLETERMINALPOSITION_MAXCROSSSECTION_AWG
35573,Socket size,Connection point (in connection point patterns),"A screwing tool (for example screwdriver) consists of the drive and the socket. The drive is the component that moves the tool, for example a handle or a motor shaft. The socket is the component that is moved, for example the tip of the screwdriver. The socket size describes the dimensions of the socket (of the blade or tip), for example 3 x 0.5 mm = width 3 mm and thickness 0.5 mm.",Data,Monolingual text,Not defined,No,No,ARTICLETERMINALPOSITION_SCREWDRIVES
35574,Bus interface: Name,Connection point (in connection point patterns),Bus interface name of the connection point in the connection point pattern.,Data,Monolingual text,Not defined,No,No,ARTICLETERMINALPOSITION_PLC_BUS_INTERFACENAME
35575,Min. tightening torque,Connection point (in connection point patterns),"Minimal value of the tightening torque. It is specified in Newton meters. It describes the force with which, for example, a screw is tightened, meaning the force that acts from the drive on the socket.",Data,Decimal number,Not defined,No,No,ARTICLETERMINALPOSITION_MINTIGHTENINGTORQUE
35576,Max. tightening torque,Connection point (in connection point patterns),"Maximal value of the tightening torque. It is specified in Newton meters. It describes the force with which, for example, a screw is tightened, meaning the force that acts from the drive on the socket.",Data,Decimal number,Not defined,No,No,ARTICLETERMINALPOSITION_MAXTIGHTENINGTORQUE
35578,Stripping length,Connection point (in connection point patterns),Length in millimeters in which the wire fabrication machine is to cut off the insulation.,Data,Decimal number,Not defined,No,No,ARTICLETERMINALPOSITION_STRIPPINGLENGTH
35580,X position: Tool,Connection point (in connection point patterns),"The properties for specifying coordinate values for the position of the tool describe the position of a terminal screw in an item with screw connection. Entry for example ""12 mm"".",Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_OPERATIONVEC_XPOS
35581,Y position: Tool,Connection point (in connection point patterns),"The properties for specifying coordinate values for the position of the tool describe the position of a terminal screw in an item with screw connection. Entry for example ""12 mm"".",Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_OPERATIONVEC_YPOS
35582,Z position: Tool,Connection point (in connection point patterns),"The properties for specifying coordinate values for the position of the tool describe the position of a terminal screw in an item with screw connection. Entry for example ""12 mm"".",Data,Coordinates (only X or Y),Not defined,No,No,ARTICLETERMINALPOSITION_OPERATIONVEC_ZPOS
