ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20110,Number of functions,Connection,"You can use this property to show the number of connections on connection definition points (and functions). The entered value is placed in the schematic together with the connection definition point - usually represented as a forward slash. Values such as ""3+PE"" are permitted.",Data,Monolingual text,Not defined,No,No,FUNC_SINGLE_LINE_FUNCTION_COUNT
20467,Subtrade,Connection,"A trade can consist of multiple so-called ""subtrades"". For instance, the trade ""Cooling"" can consist of the subtrades ""Water cooling"" and ""Oil cooling"". The specification of subtrades as additional function property makes it possible to construct very detailed reports in Eplan Fluid.",Data,Multilingual text,Not defined,No,No,FUNC_SUBCRAFT
20468,Macro,Connection,Macro from which the object originates.,Data,Monolingual text,Not defined,No,No,FUNC_MACRO
25030,AutomationML GUID,Connection,This property is required for the AutomationML export and import. Each object is identified in AutomationML by a GUID (Globally Unique Identifier) that is unique worldwide. The GUID is generated automatically and should normally not be modified manually.,Data,Monolingual text,Not defined,No,No,AUTOMATIONML_OBJECTID
31002,Connection: Cross-section / diameter,Connection,Cross-section / Diameter of the connection.,Data,Monolingual text,Not defined,No,No,CONNECTION_WIRECROSSSECTION
31003,Connection: Length with unit,Connection,"Length of a connection with specification of the displayed measuring unit. If you do not enter a unit, the unit of length specified in the project settings is used.",Data,Value with unit,Not defined,No,No,CONNECTION_WIRELENGTH
31004,Connection color / number,Connection,"Color or number of the connection, this property identifies the connection. This property is automatically filled by the connection numbering process.",Data,Monolingual text,Not defined,No,No,CONNECTION_WIRENUMBER
31006,Potential type,Connection,,Data,Integer,Not defined,No,No,POTENTIAL_TYPE
31007,Connection: Cross-section / diameter with unit,Connection,"Cross-section / Diameter of the connection, including units.",Data,Value with unit,Not defined,No,Yes,CONNECTION_WIRECROSSSECTION_WITH_UNIT
31009,Connection description,Connection,,Data,Multilingual text,Not defined,No,No,CONNECTION_DESCRIPTION
31011,Connection designation,Connection,Designation of the connection.,Data,Monolingual text,Not defined,No,No,CONNECTION_DESIGNATION
31013,Exchange source and target,Connection,"The source and target of a connection are determined by the device tag of the connected functions. Using this property, you can reverse the direction of the individual connection on the connection.",Data,Boolean (True / False),Not defined,No,No,CONNECTION_SWAP_SRC_DEST
31019,Source,Connection,,Data,Monolingual text,Not defined,No,No,CONNECTION_SOURCE
31020,Target,Connection,,Data,Monolingual text,Not defined,No,No,CONNECTION_DESTINATION
31021,Source: Placement,Connection,,Data,Monolingual text,Not defined,No,Yes,CONNECTION_LOCATION_SOURCE
31022,Target: Placement,Connection,,Data,Monolingual text,Not defined,No,Yes,CONNECTION_LOCATION_DESTINATION
31023,Source: Target number,Connection,Number of the source of the connection.,Data,Integer,Not defined,No,No,CONNECTION_NR_SOURCE
31024,Target: Target number,Connection,Number of the target of the connection.,Data,Integer,Not defined,No,No,CONNECTION_NR_DESTINATION
31025,Alternative connection cross-section / diameter,Connection,Alternative cross-section / diameter of the connection. Has to be entered manually and enables you to display the connection cross-section / diameter in parallel in different units.,Data,Monolingual text,Not defined,No,No,CONNECTION_ALTERNATE_WIRECROSSSECTION
31048,Connection: Type designation,Connection,"Type designation of the connection part, e.g., the type number of the wire type, pipe type or tube type. During a part selection the value of the property ""Cable type / type designation"" (ID 22030) or ""Connection type"" (ID 22254) is transferred into this property. These properties can be found in the parts management in the ""Properties"" tab below the hierarchy level ""Technical data"". But the value can also be entered manually.",Data,Monolingual text,Not defined,No,No,CONNECTION_WIRETYPE
31049,Shielded by,Connection,Specifies the name of the shield that shields the connection / conductor.,Data,Monolingual text,Not defined,No,No,CONNECTION_CABLEWIRE_SHIELDEDBY
31050,Pair index,Connection,The pair index (twisting index) shows another way of identifying the connection/conductor when this has the same colors/numbers.,Data,Monolingual text,Not defined,No,No,CONNECTION_CABLEWIRE_PAIRINDEX
