ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20052,Plugs: Assignment to male pin / female pin end,Function template,"In the case of the separate management of male and female pins, this specifies whether the pin is assigned to the male or female pin end of the plug.",Data,Integer,Not defined,No,No,FUNC_PINANDJACK_PLUGSIDE
20254,Description,Function template,"Description of the function template, is also displayed in the navigators.",Data,Multilingual text,Not defined,No,No,FUNCTEMPLATE_DESCRIPTION
21001,Symbol (compatibility),Function template,,Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_SYMBOL
21003,Intrinsically safe,Function template,Shows whether the function is intrinsically safe. In this case it is guaranteed that during operation or in case of a short circuit no spark can occur which could ignite any explosive atmosphere possibly present (gas or liquid).,Data,Boolean (True / False),Not defined,No,No,FUNCTEMPLATE_INTRINSICALLYSAFE
21004,Function definition,Function template,,Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_FUNCTIONDEFINITION
21005,Subordinate DT / DT ID,Function template,"In case of nested devices, indicates the subordinate DT.",Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_NESTEDDEVICETAG
21006,Safety function,Function template,Shows whether a function is relevant to safety.,Data,Boolean (True / False),Not defined,No,No,FUNCTEMPLATE_SAFETYRELEVANT
21008,Symbol macro (compatibility),Function template,,Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_SYMBOLMACRO
21023,Template group (multi-line),Function template,By means of this property the function templates of connected functions can be combined into a logical unit. All the connected functions can be placed together out of the device navigator by grouping to a template group.,Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_COMBINATION
21024,Function definition: Category / Group / Definition,Function template,,Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_CATEGORY_GROUP_ID
21025,Item,Function template,,Data,Integer,Not defined,No,No,FUNCTIONTEMPLATE_FUNCTIONDEFINITION_SUBTYPE
21026,Conductor start,Function template,"This property is only available for function templates of the type ""Conductor / wire"" and only for parts (component or module) from the cable product subgroup ""Prefabricated"". The property can be used to assign a pin to the conductor of a prefabricated cable. You have the following different options for specifying the assignment of the pins to the conductors:",Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_WIRECONNECTION_START
21027,Conductor end,Function template,"This property is only available for function templates of the type ""Conductor / wire"" and only for parts (component or module) from the cable product subgroup ""Prefabricated"". The property can be used to assign a pin to the conductor of a prefabricated cable. You have the following different options for specifying the assignment of the pins to the conductors:",Data,Monolingual text,Not defined,No,No,FUNCTEMPLATE_WIRECONNECTION_END
