ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
3014,Change protection,Function,"If this property is activated for an object (e.g. page, function, planning object, hierarchy level in a navigator) the complete object as well as all the subordinate objects are protected against all types of change. This means that not only the parts data are protected, as at device protection, but rather that all the properties of the object can no longer be changed and that the object cannot be deleted or moved. This property is assigned automatically inter alia during the generation of subprojects.",Data,Boolean (True / False),Not defined,No,Yes,WRITEPROTECTED
3015,Change protection (hierarchical),Function,"Shows whether an object (for example a page, function, planning object, hierarchy level in a navigator) is protected itself or is protected by a superior object. This property also exists at other objects that can be protected by a superior object, for example at interruption points or graphical element.",Data,Boolean (True / False),Not defined,No,Yes,WRITEPROTECTED_AUTOMATIC
20011,Function text,Function,Manually entered function text.,Data,Multilingual text,Not defined,No,No,FUNC_TEXT
20025,Engraving text,Function,Engraving text of the function.,Data,Multilingual text,Not defined,No,No,FUNC_GRAVINGTEXT
20027,Technical characteristics,Function,Technical characteristics of the function.,Data,Value with unit,Not defined,No,No,FUNC_TECHNICAL_CHARACTERISTIC
20031,Function text (automatic),Function,"Displays the content of the manually entered function text or, if it is empty, the path function text. When this property is displayed on a project page, the line breaks are removed.",Data,Multilingual text,Not defined,No,Yes,FUNC_TEXT_AUTOMATIC
20033,Output group,Function,"This property can be used as a filter and sorting tool in reports. It can be entered on main functions (e.g. cable definition lines, plug and terminal strip definitions).",Data,Monolingual text,Not defined,No,No,FUNC_OUTPUTASSEMBLY
20034,Level,Function,"Level of the multi-level terminal; if the value is ""0"", then there are no multi-level terminals, but a terminal with only one level.",Data,Integer,Not defined,No,No,FUNC_TERMINALLEVEL
20040,Cable / Conduit: Type,Function,The cable type describes the physical properties of the cable. The conduit type describes the physical properties of the conduit.,Data,Monolingual text,Not defined,No,No,FUNC_CABLETYPE
20041,Cable / Conduit: Length with unit,Function,"Length of the cable or conduit with specification of the displayed measuring unit. If you do not enter a unit, the unit of length specified in the project settings is used.",Data,Value with unit,Not defined,No,No,FUNC_CABLELENGTH
20042,Cable / Conduit: Number of connections,Function,Number of conductors in the cable or number of tubes in the conduit.,Data,Monolingual text,Not defined,No,No,FUNC_CABLEWIRECOUNT
20043,Cable / Conduit: Cross-section / diameter,Function,Default value for the connection cross-section or connection diameter of the conductors of the cable or of the tubes in the conduit. All connections are assigned by default the same value for the connection cross-section or connection diameter.,Data,Monolingual text,Not defined,No,No,FUNC_CABLEWIRECROSSSECTION
