ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
36500,Model view: Description,Model view,Description of the model view; drilling view or copper unfold; multilingual entry is allowed.,Data,Multilingual text,Not defined,No,No,DMG_VIEWPLACEMENT_DESCRIPTION
36502,Model view: Frozen,Model view,"If this property is activated, the model view, drilling view or copper unfold will no longer be updated.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_FROZEN_VIEW
36503,Model view: Name,Model view,"Designation of the model view, drilling view or copper unfold.",Data,Monolingual text,Not defined,No,No,DMG_VIEWPLACEMENT_DESIGNATION
36504,Model view: Layout space name,Model view,"Name of the layout space for which the model view, drilling view or copper unfold was created.",Data,Monolingual text,Not defined,No,Yes,DMG_VIEWPLACEMENT_BUILDINGAREA
36505,Model view: Layout space description,Model view,"Description of the layout space for which the model view, drilling view or copper unfold was created.",Data,Multilingual text,Not defined,No,Yes,DMG_VIEWPLACEMENT_BUILDINGAREA_DESCRIPTION
36506,Model view: Selection scheme,Model view,Scheme for item selection in model view or drilling view. The selection scheme specifies the item types to be displayed in the model view or drilling view.,Data,Monolingual text,Not defined,No,No,DMG_VIEWPLACEMENT_UNITSELECTIONSCHEME
36507,Model view: Item labeling,Model view,"Scheme for item labeling in the model view, drilling view or copper unfold.",Data,Monolingual text,Not defined,No,No,DMG_VIEWPLACEMENT_LABELINGSCHEME
36508,Model view: Apply viewpoint to mounting surface,Model view,"If this property is activated, the viewpoint of the model view refers to the first mounting surface of the basic items.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_CONSIDER_TRANSFORM_OF_PLANE
36509,Model view: Basic item,Model view,"The basic item is used to specify what is to be displayed in the model view. You can also further restrict the content of the layout space that is displayed. In the case of 2D drilling views and model views, the basic items can also be components of lower item hierarchy levels, e.g. mounting surfaces. In the case of copper unfolds, this is not possible.",Data,Monolingual text,Not defined,No,Yes,DMG_VIEWPLACEMENT_MAINOBJECT
36510,Model view: Scale,Model view,"Specifies the scale of the model view, drilling view or copper unfold.",Data,Monolingual text,Not defined,No,Yes,DMG_VIEWPLACEMENT_SCALE
36511,Model view: Scheme for automatic dimensioning,Model view,"Scheme for the automatic dimensioning of the items in the model view, drilling view or copper unfold.",Data,Monolingual text,Not defined,No,No,DMG_VIEWPLACEMENT_ADIMSCHEME
36513,Model view: Display item silhouettes,Model view,"If this property is activated, the basic outlines of extruded items (e.g., mounting rails and wire ducts) and the lateral boundary lines of the 3D object generated from the basic outline will be displayed. Disabling this setting will accelerate the output of complex 2D drilling views, but will impair the quality of the illustration of the items.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_SHOWSILOUETTES
36514,Model view: Rotation,Model view,"Rotates the content of the model view by 90°, 180° or 270° counterclockwise. This can be useful in order to make optimum use of highly-formatted model views on pages in landscape orientation. The border of the model view is not rotated. Texts in a model view that is rotated by 90° are rotated by the same angle. The exception are property texts to be read from the right. For them to remain legible, they are rotated by -90°.",Data,Integer,Not defined,No,No,DMG_VIEWPLACEMENT_ORIENTATION
36515,Model view: Display freely routed cables,Model view,"If this property is activated, freely routed cables are also displayed in the model view. If the property is deactivated, freely routed cables are not displayed.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_DISPLAY_FREE_ROUTED_CABLES
36516,Model view: Display freely routed wires,Model view,"If this property is activated, freely routed cable connections / wires are also displayed in the model view. If the property is deactivated, freely routed cable connections / wires are not displayed.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_FREE_ROUTED_CONNECTIONS
36517,Model view: Display freely routed hose lines,Model view,"If this property is activated, freely routed hose lines are also displayed in the model view. If the property is deactivated, freely routed hose lines are not displayed.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_ROUTED_HOSE_ASSEMBLY
36518,Model view: Display freely routed hoses,Model view,"If this property is activated, freely routed hoses are also displayed in the model view. If the property is deactivated, freely routed hoses are not displayed.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_FREE_ROUTED_HOSES
36519,Show drilling pattern,Model view,"If this property is activated, the drill holes on the copper item are displayed in the unfold.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_SHOWDRILLINGS
36520,Show bending line,Model view,"If this property is activated, the bending lines of the individual bending positions are displayed as solid lines in the unfold.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_SHOWBENDINGLINES
36521,Show bending extents,Model view,"If this property is activated, the bending extents of the individual bending positions are displayed as dotted lines in the unfold.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_SHOWBENDINGAREA
36522,Show bending note,Model view,"If this property is activated, the information regarding the bending direction, bending angle and bending radius is displayed as texts on the bending lines.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_SHOWBENDINGHINT
36523,Model view: Display freely routed pipes,Model view,"If this property is activated, freely routed pipes are also displayed in the model view. If the property is deactivated, freely routed pipes are not displayed.",Data,Boolean (True / False),Not defined,No,No,DMG_VIEWPLACEMENT_DISPLAY_FREE_ROUTED_PIPES
36524,Model view: Edge width,Model view,"With this property you can set the width of the edge lines in the model view, 2D drilling view and copper unfold to a fixed value, for example 0.5 mm. During zooming and at scale changes the line width is adapted correspondingly. During PDF export the edge lines are output with the specified width. If no value is entered, the line thickness amounts to one pixel.",Data,Coordinates (only X or Y),Not defined,No,No,DMG_VIEWPLACEMENT_EDGE_WIDTH
