ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
10009,Project name (full),Project,Name of the project file including file name extension and the full file path.,Data,Monolingual text,Not defined,No,Yes,PROJ_FULL_PROJECTNAME
10010,Project path,Project,"Relative file path of the project file, starting from the directory entered in the user settings as the general project directory. Only one value can then be displayed when there is a discrepancy between the project directory entered in the user settings and the current project path.",Data,Monolingual text,Not defined,No,Yes,PROJ_PROJECTPATH
10011,Project description,Project,Description of the project.,Data,Multilingual text,Not defined,No,No,PROJ_INSTALLATIONNAME
10013,Job number,Project,Enter the project number or the job number here.,Data,Monolingual text,Not defined,No,No,PROJ_DRAWINGNUMBER
10014,Commission,Project,Enter e.g. the project number or a job number here.,Data,Multilingual text,Not defined,No,No,PROJ_COMMISSION
10015,Company name,Project,,Data,Monolingual text,Not defined,No,No,PROJ_COMPANYNAME
10016,Company address 1,Project,,Data,Monolingual text,Not defined,No,No,PROJ_COMPANYADDRESS1
10017,Company address 2,Project,,Data,Monolingual text,Not defined,No,No,PROJ_COMPANYADDRESS2
10030,Make,Project,,Data,Multilingual text,Not defined,No,No,PROJ_MAKE
10031,Project: Type,Project,"Serves to indicate the type, e.g. machine or plant.",Data,Multilingual text,Not defined,No,No,PROJ_TYPE
10032,Place of installation,Project,,Data,Multilingual text,Not defined,No,No,PROJ_LOCATIONOFINSTALLATION
10033,Part features,Project,,Data,Multilingual text,Not defined,No,No,PROJ_PARTFEATURES
10034,Environmental consideration,Project,,Data,Multilingual text,Not defined,No,No,PROJ_ENVIRONMENTALCONSIDERATION
10035,Location,Project,,Data,Multilingual text,Not defined,No,No,PROJ_LOCATION
10036,Regulation,Project,,Data,Multilingual text,Not defined,No,No,PROJ_REGULATION
10037,Degree of protection,Project,,Data,Multilingual text,Not defined,No,No,PROJ_DEGOFPROTECTION
10038,Enclosures,Project,,Data,Multilingual text,Not defined,No,No,PROJ_ENCLOSURES
10039,Feed-in,Project,,Data,Monolingual text,Not defined,No,No,PROJ_POWERINPUT
10040,Input lead,Project,,Data,Monolingual text,Not defined,No,No,PROJ_LEADIN
10041,Control voltage,Project,,Data,Monolingual text,Not defined,No,No,PROJ_CONTROLVOLTAGE
10042,Manufacturing date,Project,,Data,Monolingual text,Not defined,No,No,PROJ_MANUFACTURINGDATE
10045,Project path (full),Project,"Complete file path of the project file, but without the project file name.",Data,Monolingual text,Not defined,No,Yes,PROJ_FULL_PROJECTPATH
10065,Number of frozen pages per page type,Project,"Provides the number of frozen pages for each page type in the project. The page type is specified via the index (in the help system in the ""Page types"" section).",Data,Integer,Not defined,"Yes, 100",Yes,PROJ_FROZENPERPAGETYPE
10069,Project: Template,Project,"Displays the template (basic project, or, for a copied project, the source project) from which the project was created. To differentiate, the file extension is displayed in addition to the file name.",Data,Monolingual text,Not defined,No,No,PROJ_ORIGIN
10180,Customer code,Project,,Data,Monolingual text,Not defined,No,No,PROJ_CUSTOMIDENTIFICATION
10200,Number of pages per page type,Project,"Provides the number of pages for each page type in the project. The page type is specified via the index (in the help system in the ""Page types"" section).",Data,Integer,Not defined,"Yes, 100",Yes,PROJ_COUNTPERPAGETYPE
10300,Total no. of pages,Project,Indicates the total number of pages in a project.,Data,Integer,Not defined,No,Yes,PROJ_PAGECOUNT
10301,Created pages,Project,Provides the number of manually generated pages in a project.,Data,Integer,Not defined,No,Yes,PROJ_EDITEDPAGES
10302,Generated report pages,Project,Provides the number of (automatically generated) report pages in a project.,Data,Integer,Not defined,No,Yes,PROJ_GENERATEDPAGES
10304,Number of layout spaces,Project,,Data,Integer,Not defined,No,Yes,PROJECT_INSTALLATIONSPACECOUNT
10500,Source language,Project,Project setting for the source language.,Data,Integer,Not defined,No,Yes,PROJ_SOURCELANGUAGE
10901,Supplementary field,Project,"Max. 1,000 words in the supplementary fields for the project that can be specified using the index.",Data,Multilingual text,Not defined,"Yes, 1000",No,PROJ_SUPPLEMENTARYFIELD
10950,AutomationML: Company,Project,"This property can be used for the AutomationML export to specify an additional structure. If this property is filled, it is output in the AML file above the project structure defined by the identifier blocks.",Data,Monolingual text,Not defined,No,No,PROJECT_ENTERPRISE
10951,AutomationML: Works,Project,"This property can be used for the AutomationML export to specify an additional structure. If this property is filled, it is output in the AML file above the project structure defined by the identifier blocks.",Data,Monolingual text,Not defined,No,No,PROJECT_SITE
10952,AutomationML: Building,Project,"This property can be used for the AutomationML export to specify an additional structure. If this property is filled, it is output in the AML file above the project structure defined by the identifier blocks.",Data,Monolingual text,Not defined,No,No,PROJECT_AREA
10953,AutomationML: Plant,Project,"This property can be used for the AutomationML export to specify an additional structure. If this property is filled, it is output in the AML file above the project structure defined by the identifier blocks.",Data,Monolingual text,Not defined,No,No,PROJECT_PRODUCTION_LINE
10954,AutomationML: Area,Project,"This property can be used for the AutomationML export to specify an additional structure. If this property is filled, it is output in the AML file above the project structure defined by the identifier blocks.",Data,Monolingual text,Not defined,No,No,PROJECT_WORK_CELL
20913,Trade of part reference,Project,Trade of the associated part reference. A max. of 50 definitions can be defined using the index.,Data,Integer,Not defined,"Yes, 50",No,PROJ_ARTICLEREF_CRAFT
