ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
44004,Designation,Segment (pre-planning),Name of the structure segment or planning object. This name is identifying on a structure level in the space.,Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_DESIGNATION
44005,Description (Segment),Segment (pre-planning),Description of the structure segment or planning object (multi-lingual).,Data,Multilingual text,Not defined,No,No,DMPLAOBJECT_DESCRIPTION
44006,Technical description,Segment (pre-planning),You can enter any characteristic and particular features (multi-lingual). Is used for output in reports.,Data,Multilingual text,Not defined,No,No,DMPLAOBJECT_TECHNICAL_DESCRIPTION
44007,Documents,Segment (pre-planning),Any external documents can be stored at a planning object or structure segment. You can output these documents in the reports as hyperlinks.,Data,Monolingual text,Not defined,"Yes, 20",No,DMPLAOBJECT_DOCUMENTS
44008,Macro,Segment (pre-planning),"At each planning object in the tree view of the pre-planning navigator, a macro can be entered that contains parts of the circuit or the entire circuit. This macro is used when creating the detailed planning. The property is also taken into consideration during the export and import of pre-planning data for external editing as well as during the pre-planning import.",Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_MACRO
44010,Power consumption,Segment (pre-planning),The power consumption necessary to operate this planning object.,Data,Value with unit,Not defined,No,No,DMPLAOBJECT_POWER_REQUIREMENT
44012,Expenditure planning,Segment (pre-planning),The necessary time spent until the planning of this planning object.,Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_PLANNINGTIME
44014,Expenditure construction,Segment (pre-planning),The necessary time spent to build this planning object.,Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_BUILDINGTIME
44016,Expenditure software,Segment (pre-planning),The necessary time spent to program this planning object.,Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_PROGRAMMINGTIME
44018,Calculation value,Segment (pre-planning),Estimated value that is required to realize the current planning object (for example an estimated price for a loop).,Data,Decimal number,Not defined,No,No,DMPLAOBJECT_PRICE
44026,Level in tree,Segment (pre-planning),"Indicates the hierarchy level of the planning object or structure segment in the tree view of the pre-planning navigator. The top level (directly below the project) has the value ""1""; for the levels below, the value is incremented.",Data,Integer,Not defined,No,Yes,DMPLAOBJECT_TREELEVEL
44027,Pre-planning item number,Segment (pre-planning),,Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_POSITIONNUMBER
44028,Total number of digital PLC inputs,Segment (pre-planning),"Shows the sum of the digital PLC inputs for the current planning object and the subordinate planning objects and (in accordance with the tree structure in the pre-planning navigator). Digital PLC addresses are such addresses that have the data type ""BOOL"". This is not case-sensitive. Inputs and outputs are recognized by the direction of the PLC address.",Data,Integer,Not defined,No,Yes,DMPLAOBJECT_DIGITAL_PLCINPUT_COUNT
44029,Total number of digital PLC outputs,Segment (pre-planning),"Shows the sum of the digital PLC outputs for the current planning object and the subordinate planning objects and (in accordance with the tree structure in the pre-planning navigator). Digital PLC addresses are such addresses that have the data type ""BOOL"". This is not case-sensitive. Inputs and outputs are recognized by the direction of the PLC address.",Data,Integer,Not defined,No,Yes,DMPLAOBJECT_DIGITAL_PLCOUTPUT_COUNT
44030,Total number of analog PLC inputs,Segment (pre-planning),"Shows the sum of the analog PLC inputs for the current planning object and the subordinate planning objects and (in accordance with the tree structure in the pre-planning navigator). Analog PLC addresses are such addresses that have a data type that is not ""BOOL"". Inputs and outputs are recognized by the direction of the PLC address.",Data,Integer,Not defined,No,Yes,DMPLAOBJECT_ANALOG_PLCINPUT_COUNT
44031,Total number of analog PLC outputs,Segment (pre-planning),"Shows the sum of the analog PLC outputs for the current planning object and the subordinate planning objects and (in accordance with the tree structure in the pre-planning navigator). Analog PLC addresses are such addresses that have a data type that is not ""BOOL"". Inputs and outputs are recognized by the direction of the PLC address.",Data,Integer,Not defined,No,Yes,DMPLAOBJECT_ANALOG_PLCOUTPUT_COUNT
44032,Structure identifier (Segment),Segment (pre-planning),"Specifies all structure identifiers including preceding sign entered at the structure segment or planning object, provided they have a value. No preceding sign is displayed for empty structure identifiers. For example, instead of the string ""==A1+-"", only ""==A1"" is displayed.",Data,Monolingual text,Not defined,No,Yes,DMPLAOBJECT_ALLSTRUCTUREPARTS
44035,Technical facility,Segment (pre-planning),"""Technical facility"" component of the designation of a PCT loop / PCT loop function.",Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_PCT_IDENTIFIER
44036,Measurand,Segment (pre-planning),"""Measurand"" component of the designation of a PCT loop / PCT loop function.",Data,Monolingual text,Not defined,No,No,DMPLAOBJECT_PCT_MEASURAND
