ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
35000,Terminal strips: Number of SH terminals,Terminal strip (in reports),Number of SH terminals on the terminal strip. Shields will be connected to these terminals.,Data,Integer,Not defined,No,Yes,TERMINALSTRIP_COUNTOFSH
35001,Terminal strips: Total number of objects on terminal strip,Terminal strip (in reports),"Quantity of all objects on the terminal strip, including the terminal strip definition, terminals, terminal accessories, and function templates.",Data,Integer,Not defined,No,Yes,TERMINAL_COUNTOFINTERNALOBJECTS
35002,Terminal strips: Number of general terminals,Terminal strip (in reports),"Total number of terminals on the terminal strip that are not N, PE, PEN or SH terminals.",Data,Integer,Not defined,No,Yes,TERMINALSTRIP_COUNTOFCOMMON
35003,Terminal strips: Number of N terminals,Terminal strip (in reports),Quantity of N terminals on the terminal strip.,Data,Integer,Not defined,No,Yes,TERMINALSTRIP_COUNTOFN
35004,Terminal strips: Number of PE terminals,Terminal strip (in reports),Quantity of PE / PEN terminals on the terminal strip.,Data,Integer,Not defined,No,Yes,TERMINALSTRIP_COUNTOFPE
35005,Terminal strips: Number of terminals and accessories for terminal diagram,Terminal strip (in reports),Quantity of terminals and accessories displayed on the terminal diagram.,Data,Integer,Not defined,No,Yes,TERMINALSTRIP_ITEMCOUNT
35006,Terminal strips: Number of terminals,Terminal strip (in reports),Quantity of terminals on the terminal strip (independent of type).,Data,Integer,Not defined,No,Yes,TERMINALSTRIP_COUNTOFTERMINALS
35007,Terminal strips: First terminal,Terminal strip (in reports),Designation of the first terminal on the terminal strip.,Data,Monolingual text,Not defined,No,Yes,TERMINALSTRIP_FIRSTTERMINAL
35008,Terminal strips: Last terminal,Terminal strip (in reports),Designation of the last terminal on the terminal strip.,Data,Monolingual text,Not defined,No,Yes,TERMINALSTRIP_LASTTERMINAL
35009,Terminal strips: Page name of terminal diagram,Terminal strip (in reports),Name of the first page of the terminal diagram for the reported terminal strip. Can be used in reports / forms.,Data,Monolingual text,Not defined,No,Yes,TERMINALSTRIP_DIAGRAMPAGE
35010,Terminal strips: Page name of terminal-connection diagram,Terminal strip (in reports),Name of the first page of the terminal-connection diagram for the reported terminal strip. Can be used in reports / forms.,Data,Monolingual text,Not defined,No,Yes,TERMINALSTRIP_CONNECTIONDIAGRAMPAGE
35011,Terminal strips: Page name of terminal line-up diagram,Terminal strip (in reports),Name of the first page of the terminal line-up diagram for the reported terminal strip. Can be used in reports / forms.,Data,Monolingual text,Not defined,No,Yes,TERMINALSTRIP_TERMINALLINEUPDIAGRAMPAGE
