ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
1131,Function designation (sub-identifier 1): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT1_DESCR
1132,Function designation (sub-identifier 2): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT2_DESCR
1133,Function designation (sub-identifier 3): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT3_DESCR
1134,Function designation (sub-identifier 4): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT4_DESCR
1135,Function designation (sub-identifier 5): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT5_DESCR
1136,Function designation (sub-identifier 6): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT6_DESCR
1137,Function designation (sub-identifier 7): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT7_DESCR
1138,Function designation (sub-identifier 8): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT8_DESCR
1139,Function designation (sub-identifier 9): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT9_DESCR
1140,Function designation with preceding sign,Connection,"Provides the full function designation name with preceding sign, e.g. ""=A.UA1.UA2"".",Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FULLPLANT_WITHPREFIX
1150,Function designation: Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_FULLPLANT_DESCR
1230,Location designation (main identifier): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_LOCATION_DESCR
1231,Location designation (sub-identifier 1): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION1_DESCR
1232,Location designation (sub-identifier 2): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION2_DESCR
1233,Location designation (sub-identifier 3): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION3_DESCR
1234,Location designation (sub-identifier 4): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION4_DESCR
1235,Location designation (sub-identifier 5): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION5_DESCR
1236,Location designation (sub-identifier 6): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION6_DESCR
1237,Location designation (sub-identifier 7): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION7_DESCR
1238,Location designation (sub-identifier 8): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION8_DESCR
1239,Location designation (sub-identifier 9): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION9_DESCR
1240,Location designation with preceding sign,Connection,"Provides the full location designation names with preceding sign, e.g. ""+O.UO1.UO2"".",Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FULLLOCATION_WITHPREFIX
1250,Location designation: Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_FULLLOCATION_DESCR
1330,Functional assignment (main identifier): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_FUNCTIONALASSIGNMENT_DESCR
1331,Functional assignment (sub-identifier 1): Description,Connection,,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_SUBFUNCTIONALASSIGNMENT1_DESCR
