ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
1129,Function designation (visible),Function (base object),Shows the component of the respective identifier block of the displayed DT. Blanks or line breaks that are available in the displayed DT are not displayed for this property.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_PLANT_VISIBLE
1130,Function designation (main identifier): Description,Function (base object),,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_PLANT_DESCR
1229,Location designation (visible),Function (base object),Shows the component of the respective identifier block of the displayed DT. Blanks or line breaks that are available in the displayed DT are not displayed for this property.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_LOCATION_VISIBLE
1329,Functional assignment (visible),Function (base object),Shows the component of the respective identifier block of the displayed DT. Blanks or line breaks that are available in the displayed DT are not displayed for this property.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FUNCTIONALASSIGNMENT_VISIBLE
1421,"Installation site (sub-identifier, complete)",Function (base object),Provides the full name of the installation site with all the sub-identifiers.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FULLSUBPLACEOFINSTALLATION
1429,Installation site (visible),Function (base object),Shows the component of the respective identifier block of the displayed DT. Blanks or line breaks that are available in the displayed DT are not displayed for this property.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_PLACEOFINSTALLATION_VISIBLE
1600,User-defined structure (main identifier),Function (base object),Provides the main identifier of the user-defined structure.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_USERDEFINED
1620,User-defined structure,Function (base object),Provides the full character string of the user-defined structure.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FULLUSERDEFINED
1621,"User-defined structure (sub-identifier, complete)",Function (base object),Provides the full name of the user-defined structure with all the sub-identifiers.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FULLSUBUSERDEFINED
1629,User-defined structure (visible),Function (base object),Shows the component of the respective identifier block of the displayed DT. Blanks or line breaks that are available in the displayed DT are not displayed for this property.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_USERDEFINED_VISIBLE
1700,Higher-level function number (main identifier),Function (base object),The first (and in this case only) hierarchy level of the higher-level function number. Is required for fluid power.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_INSTALLATIONNUMBER
1729,Higher-level function number (visible),Function (base object),Shows the component of the respective identifier block of the displayed DT. Blanks or line breaks that are available in the displayed DT are not displayed for this property.,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_INSTALLATIONNUMBER_VISIBLE
1829,Product (visible),Function (base object),"Shows the ""Product aspect"" component of the visible DT. A value is only displayed here if the extended reference identification is activated in the project structure and the product aspect is used for structuring. Blanks or line breaks that are available in the displayed DT are not displayed for this property.",Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_PRODUCT_VISIBLE
1830,Product (main identifier): Description,Function (base object),,Devices,Multilingual text,Not defined,No,Yes,DESIGNATION_PRODUCT_DESCR
20000,Name (identifying),Function (base object),"Identifying name of the function, consisting of the identifying device tag, the connection point designation for connection points, and the terminal designation for terminals.",Devices,Monolingual text,Not defined,No,Yes,FUNC_IDENTNAME
20001,Name (full),Function (base object),"Full name, such as the identifying name, but also still contains additional describing identifier elements.",Devices,Monolingual text,Not defined,No,Yes,FUNC_FULLNAME
20002,Name (visible),Function (base object),"Displayed name, contains the name as it was entered for the displayed DT in the properties dialog. May also contain terminal designation, etc.",Devices,Monolingual text,Not defined,No,Yes,FUNC_VISIBLENAME
20003,"DT (superior, without project structures)",Function (base object),Supplies the superior device tag without project structures.,Devices,Monolingual text,Not defined,No,Yes,FUNC_DEVICETAG_MAIN
