ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
1100,Function designation (main identifier),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_PLANT
1101,Function designation (sub-identifier 1),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT1
1102,Function designation (sub-identifier 2),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT2
1103,Function designation (sub-identifier 3),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT3
1104,Function designation (sub-identifier 4),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT4
1105,Function designation (sub-identifier 5),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT5
1106,Function designation (sub-identifier 6),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT6
1107,Function designation (sub-identifier 7),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT7
1108,Function designation (sub-identifier 8),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT8
1109,Function designation (sub-identifier 9),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBPLANT9
1120,Function designation,Page,"Provides the full function designation name, e.g. ""A.UA1.UA2"".",Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FULLPLANT
1121,"Function designation (sub-identifier, complete)",Page,"For a function designation provides all the sub-identifiers, for example ""UA1.UA2"" at a complete function designation ""A.UA1.UA2"".",Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_FULLSUBPLANT
1200,Location designation (main identifier),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_LOCATION
1201,Location designation (sub-identifier 1),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION1
1202,Location designation (sub-identifier 2),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION2
1203,Location designation (sub-identifier 3),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION3
1204,Location designation (sub-identifier 4),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION4
1205,Location designation (sub-identifier 5),Page,,Devices,Monolingual text,Not defined,No,Yes,DESIGNATION_SUBLOCATION5
