ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
10130,End customer: Short name,Project,Short name of end customer. The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERID
10131,End customer: Title,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERTITLE
10132,End customer: Name 1,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERNAME1
10133,End customer: Name 2,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERNAME2
10134,End customer: Name 3,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERNAME3
10135,End customer: Street,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERSTREET
10136,End customer: P.O. box,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERPOBOX
10137,End customer: Zip code (City),Project,City zip code. The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERZIPCODE
10138,End customer: City,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERCITY
10139,End customer: Country,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERCOUNTRY
10140,End customer: Phone,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERTELEPHONE
10141,End customer: Fax,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERFAX
10142,End customer: E-mail,Project,The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMEREMAIL
10143,End customer: Zip code (P.O. box),Project,Postbox zip code. The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMERZIPCODEPOBOX
10144,End customer: State / Region,Project,Region of a country (federal state). The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMER_REGION
10145,End customer: Full name,Project,Full name of end customer. The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMER_LONGNAME
10146,End customer: Customer number,Project,Number managed under personal details. The property can be automatically populated with the relevant customer data from parts management via project management.,End customer,Monolingual text,Not defined,No,No,PROJ_ENDCUSTOMER_NUMBER
10147,End customer: Description,Project,"This property is used for entering internal information or remarks, such as ""responsible for sales, part ...., good credit"" and so on. The property can be automatically populated with the relevant customer data from parts management via project management.",End customer,Multilingual text,Not defined,No,No,PROJ_ENDCUSTOMER_NOTE
