ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20026,Function definition,Function,Provides the name of the entered function definition.,Function data,Multilingual text,Not defined,No,Yes,FUNC_COMPONENTTYPE
20038,Connection point designations (all),Function,Contains all connection point designations of a function. During entering (in the property dialog or for tabular editing) the individual values are separated by paragraph marks. For the display the values are separated by semicolons.,Function data,Monolingual text,Not defined,No,No,FUNC_ALLCONNECTIONDESIGNATIONS
20039,Connection point descriptions (all),Function,Contains all connection point descriptions of a function. During entering (in the property dialog or for tabular editing) the individual values are separated by paragraph marks. For the display the values are separated by semicolons.,Function data,Monolingual text,Not defined,No,No,FUNC_ALLCONNECTIONDESCRIPTIONS
20088,Function definition: Area,Function,"Area for grouping the function definitions. Provides the area within the trade, e.g., ""coils and contacts"" or ""motors"".",Function data,Multilingual text,Not defined,No,Yes,FUNC_CATEGORY_REGION
20115,Function definition: Category,Function,"Function definition category, serves to group the function definitions.",Function data,Multilingual text,Not defined,No,Yes,FUNC_CATEGORY
20116,Function definition: Group,Function,"Function definition group, serves to group the function definitions.",Function data,Multilingual text,Not defined,No,Yes,FUNC_GROUP
20117,Function definition: Description,Function,Function definition description.,Function data,Multilingual text,Not defined,No,Yes,FUNC_DESC
20122,Main function,Function,Defines whether a function is a main function. The main function represents a device in the devices represented in a distributed manner (e.g. the coil in a contactor). Only the main function carries (e.g.) the device definition of the device.,Function data,Boolean (True / False),Not defined,No,No,FUNC_MAINFUNCTION
20123,With signal isolation,Function,Specifies whether signals end at the function or are forwarded.,Function data,Boolean (True / False),Not defined,No,No,FUNC_POTENTIALSEPARATED
20188,Function definition: Category / Group / Definition,Function,"Outputs the function definition in the ""Category / Group / Function definition"" format.",Function data,Monolingual text,Not defined,No,No,FUNC_CATEGORY_GROUP_ID
20216,Safety function,Function,Shows whether a function is relevant to safety.,Function data,Boolean (True / False),Not defined,No,No,FUNC_SAFETYRELEVANT
