ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
22001,Part number,Part,"The part number is identifying for a part, it combines the variants of a part. In the case of part variants, the combination of part number and variant designation is the identifier. During entry as many characters as you wish are possible for the part number, but only the first 96 characters in the UTF-8 format are identifying.",General,Monolingual text,Not defined,No,No,ARTICLE_PARTNR
22002,Type number,Part,"Outputs the type number of the part entered in parts management on the ""Properties"" tab > hierarchy level ""General"".",General,Monolingual text,Not defined,No,No,ARTICLE_TYPENR
22003,Order number,Part,,General,Monolingual text,Not defined,No,No,ARTICLE_ORDERNR
22004,Part: Designation 1,Part,,General,Multilingual text,Not defined,No,No,ARTICLE_DESCR1
22005,Part: Designation 2,Part,,General,Multilingual text,Not defined,No,No,ARTICLE_DESCR2
22006,Part: Designation 3,Part,,General,Multilingual text,Not defined,No,No,ARTICLE_DESCR3
22007,Manufacturer,Part,Short name of the manufacturer.,General,Monolingual text,Not defined,No,No,ARTICLE_MANUFACTURER
22008,Supplier,Part,Short name of the supplier.,General,Monolingual text,Not defined,No,No,ARTICLE_SUPPLIER
22009,Description,Part,,General,Multilingual text,Not defined,No,No,ARTICLE_NOTE
22024,Variant,Part,"Property of a part variant. Shows the designation of the variant, up to 3 characters may be entered. A part always has at least one variant. By default, the variant designation ""1"" is assigned to the first variant of each part.",General,Monolingual text,Not defined,No,No,ARTICLE_VARIANT
22028,Product subgroup,Part,"Outputs the product subgroup entered in parts management on the ""Properties"" tab > hierarchy level ""General"" > ""Product grouping"" property. The parts are sorted according to their product groups (including superseding and subgroups) and displayed in tree format in parts management.",General,Integer,Not defined,No,No,ARTICLE_PRODUCTSUBGROUP
22041,Product group,Part,"Outputs the product group entered in parts management on the ""Properties"" tab > hierarchy level ""General"" > ""Product grouping"" property. The parts are sorted according to their product groups (including superseding and subgroups) and displayed in tree format in parts management.",General,Integer,Not defined,No,No,ARTICLE_PRODUCTGROUP
22056,ERP / PDM number 1,Part,"Unique part number of an external ERP system or PDM system. The ERP / PDM numbers must be unique for different parts. Same values are also permitted for the properties ""ERP / PDM number 1"" to ""ERP / PDM number 10"" at a part. Any number of characters can be entered for the ERP / PDM number. However, only the first 64 characters in UTF-8 format are identifying. If you assign a value via the Application Programming Interface you have to specify the same value for all part variants.",General,Monolingual text,Not defined,No,No,ARTICLE_ERPNR
22138,Generic product group,Part,"Outputs the generic product group entered in parts management on the ""Properties"" tab > hierarchy level ""General"" > ""Product grouping"" property. The parts are sorted according to their product groups (including superseding and subgroups) and displayed in tree format in parts management.",General,Integer,Not defined,No,No,ARTICLE_PRODUCTTOPGROUP
22222,Manufacturer name,Part,Full name of the manufacturer.,General,Monolingual text,Not defined,No,Yes,ARTICLE_MANUFACTURER_NAME
22223,Supplier name,Part,Full name of the supplier.,General,Monolingual text,Not defined,No,Yes,ARTICLE_SUPPLIER_NAME
22258,Discontinued part,Part,Identifies the part as a discontinued part; such a part is no longer to be used.,General,Boolean (True / False),Not defined,No,No,ARTICLE_DISCONTINUED
22367,Product grouping,Part,"In this property the classification of a part into ""Generic product group"", ""Product group"" and ""Product subgroup"" is made in the parts management in the tab ""Properties"" > Hierarchy level ""General"". The classification is displayed here like the directory path in a breadcrumb trail (e.g. ""Electrical engineering > Cable > General"").",General,Monolingual text,Not defined,No,No,ARTICLE_PRODUCTGROUPING
22370,ERP / PDM numbers,Part,Outputs all ERP / PDM numbers and their descriptions.,General,Monolingual text,Not defined,No,No,ARTICLE_ERPNR_ALL
22371,ERP / PDM number 2,Part,"Unique part number of an external ERP system or PDM system. The ERP / PDM numbers must be unique for different parts. Same values are also permitted for the properties ""ERP / PDM number 1"" to ""ERP / PDM number 10"" at a part. Any number of characters can be entered for the ERP / PDM number. However, only the first 64 characters in UTF-8 format are identifying. If you assign a value via the Application Programming Interface you have to specify the same value for all part variants.",General,Monolingual text,Not defined,No,No,ARTICLE_ERPNR_2
22372,ERP / PDM number 3,Part,"Unique part number of an external ERP system or PDM system. The ERP / PDM numbers must be unique for different parts. Same values are also permitted for the properties ""ERP / PDM number 1"" to ""ERP / PDM number 10"" at a part. Any number of characters can be entered for the ERP / PDM number. However, only the first 64 characters in UTF-8 format are identifying. If you assign a value via the Application Programming Interface you have to specify the same value for all part variants.",General,Monolingual text,Not defined,No,No,ARTICLE_ERPNR_3
22373,ERP / PDM number 4,Part,"Unique part number of an external ERP system or PDM system. The ERP / PDM numbers must be unique for different parts. Same values are also permitted for the properties ""ERP / PDM number 1"" to ""ERP / PDM number 10"" at a part. Any number of characters can be entered for the ERP / PDM number. However, only the first 64 characters in UTF-8 format are identifying. If you assign a value via the Application Programming Interface you have to specify the same value for all part variants.",General,Monolingual text,Not defined,No,No,ARTICLE_ERPNR_4
22374,ERP / PDM number 5,Part,"Unique part number of an external ERP system or PDM system. The ERP / PDM numbers must be unique for different parts. Same values are also permitted for the properties ""ERP / PDM number 1"" to ""ERP / PDM number 10"" at a part. Any number of characters can be entered for the ERP / PDM number. However, only the first 64 characters in UTF-8 format are identifying. If you assign a value via the Application Programming Interface you have to specify the same value for all part variants.",General,Monolingual text,Not defined,No,No,ARTICLE_ERPNR_5
