ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
15099,Number of messages,Symbol library,Total of all messages during the data transfer of symbol libraries.,Messages,Integer,Not defined,No,No,SYMBLIB_ERRORCOUNT
15100,Error: Function definition,Symbol library,"Indicates whether a function definition was missing during the data transfer of symbol libraries. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_FUNCDEFERROR
15101,Error: Connection point,Symbol library,"Indicates whether a problem occurred with any connection points during the data transfer of symbol libraries. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_CONNECTIONERROR
15102,Error: Symbol variant,Symbol library,"Indicates whether a problem occurred with any symbol variants during the data transfer of symbol libraries. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_VARIANTERROR
15103,Error: Representation type,Symbol library,"Indicates whether a problem occurred with any representation type during the data transfer of symbol libraries. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_FUNCTYPEERROR
15104,Error: Connection point logic,Symbol library,"Indicates whether a problem occurred with any connection point logic during the data transfer of symbol libraries. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_LOGICERROR
15105,Error: Symbol graphic,Symbol library,"Indicates whether a problem occurred with any symbol graphics during the data transfer of symbol libraries. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_GRAPHICERROR
15106,Error: Property placement,Symbol library,"Indicates whether a problem occurred with any placed properties during the data transfer of symbol libraries. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_PLACEDPROPERROR
15200,Error (import),Symbol library,"Shows whether a problem occurred during the symbol libraries data transfer that can be solved in the function definition assignment dialog. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_IMPORTERROR
15201,Error (symbol editor),Symbol library,"Shows whether a problem occurred during the symbol libraries data transfer that can be solved in the symbol editor. Max. of 1,024 are recorded.",Messages,Monolingual text,Not defined,"Yes, 1024",No,SYMBLIB_ERRORSYMBOLED
