ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
25000,Trade (Defined working sections),Connection,"Can be used in the filter schemes for defined working sections in order to filter pages, functions, and connections by trade. The following values are possible:",No category,Integer,Not defined,No,Yes,EDITINGAREA_CRAFT
31000,Connection: Length,Connection,"Length in ""meter"" without specification of the unit.",No category,Decimal number,Not defined,No,No,CONNECTION_WIRELENGTH_VALUE
31001,Connection: Unit of length,Connection,Display unit of the length. Possible values are:,No category,Integer,Not defined,No,No,CONNECTION_WIRELENGTH_UNIT
31010,Subset / length: Value,Connection,"Value of the subset of the part without information about the unit. At parts for cables, connections and their accessories (for example shrink tubes or insulating tubes) the contents of this property is evaluated as a length in ""meter"" and the entry of decimal values is possible. Using the index, you can differentiate between 50 entries.",No category,Decimal number,Not defined,"Yes, 50",No,FUNC_ARTICLE_PARTIAL_LENGTH_VALUE
31012,Unit for subset / length,Connection,"Displayed measuring unit in which the subset or length of the part is specified. Using the index, you can differentiate between 50 entries. Possible values are:",No category,Integer,Not defined,"Yes, 50",No,FUNC_ARTICLE_PARTIAL_LENGTH_UNIT
31026,Name of page containing connection,Connection,,No category,Monolingual text,Not defined,No,No,CONNECTION_PAGENAME
31058,Cable connection,Connection,"This property is no longer in use and only taken into consideration in old projects. Indicates whether the connection can be part of a cable. If this property is not assigned to a connection or a connection definition point, the connection points determine whether this is a cable connection for the connection.",No category,Boolean (True / False),Not defined,No,Yes,CONNECTION_IS_CABLE
31075,Type of administration,Connection,Specifies at a connection the manner in which the connection is to be managed in Eplan. The property can be used to sort the connections in the connection navigator. Possible values are:,No category,Integer,Not defined,No,Yes,CONNECTION_TYPE
31076,Net index,Connection,Identifies the net in the case of net-based connections.,No category,Monolingual text,Not defined,No,No,CONNECTION_NET_INDEX
31077,Daisy chain index,Connection,Identifies the daisy chain within a net in the case of net-based connections.,No category,Monolingual text,Not defined,No,No,CONNECTION_DAISYCHAIN_INDEX
31078,Connection index,Connection,Identifies the connections within a daisy chain in the case of net-based connections.,No category,Monolingual text,Not defined,No,No,CONNECTION_CONNECTION_INDEX
31086,Conduit connection,Connection,This property is no longer in use and only taken into consideration in old projects. Indicates whether the connection can be part of a conduit.,No category,Boolean (True / False),Not defined,No,Yes,CONNECTION_IS_PACKET
31118,Connection: Associated terminal connection point (connection point designation),Connection,"This property can be used in terminal diagrams in the data area of the cable chart (via the placeholder elements ""Cable chart data area external"" and ""Cable chart data area internal""). Indicates the connection point designation of the terminal to which the connection is connected. Thus, you can see from the cable chart which connection is to be connected to which terminal connection point. For example, this is helpful if you use the placeholder elements ""Target via connection point"", ""Connection via connection point"" or ""Connection / cable via connection point"" to output several terminal connection points in a row.",No category,Monolingual text,Not defined,No,Yes,CONNECTION_TERMINAL_CONNECTIONDESIGNATION
31135,Phase busbar connection,Connection,This property is no longer in use and only taken into consideration in old projects. Indicates whether the connection can be part of a phase busbar.,No category,Boolean (True / False),Not defined,No,Yes,CONNECTION_IS_PHASEBAR
31146,Line,Connection,Indicates whether the connection can be part of a line. This property is activated or deactivated in accordance with the set value for the Connection: Association (ID 31142) property.,No category,Boolean (True / False),Not defined,No,Yes,CONNECTION_IS_PIPE
31160,Object identification: Source,Connection,Internal object identifier.,No category,Monolingual text,Not defined,No,Yes,CONNECTION_SOURCE_DBOBJECTID
31161,Object identification: Target,Connection,Internal object identifier.,No category,Monolingual text,Not defined,No,Yes,CONNECTION_DESTINATION_DBOBJECTID
