ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
13044,"Graphic for saddle, insertable and wire jumpers",Form,"Placeholder for generated graphics in reports. Saddle jumpers, insertable jumpers and wire jumpers are represented by the same graphic. If these jumpers be represented by different graphics, the properties for separate jumper graphics must be used instead, e.g. ""Graphic for internal wire jumpers"" (ID 13045), ""Graphic for external wire jumpers"" (ID 13046), ""Graphic for saddle jumpers"" (ID 13047), etc.",No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_ALL
13045,Graphic for internal wire jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_WIRE_INTERNAL
13046,Graphic for external wire jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_WIRE_EXTERNAL
13047,Graphic for saddle jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SADDLE
13048,Connection graphic,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_CONNECTION
13049,Symbol graphic,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_SYMBOL
13050,Component graphic,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_SYMBREF
13051,Graphic for wire jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_WIRE
13057,Result from value set,Form,"Shows the indexed content of the value set. For each value set, all possible assignments to the function properties are reported. (That is, all possible values that take on the property of the function through an assignment of the value set are reported.)",No category,Monolingual text,Not defined,"Yes, 100",Yes,FORM_PLACEHOLDER_RESULT
13058,Placeholder format,Form,"Shows all variable assignments that are entered in the placeholder object (i.e. entries from the ""Variable"" column on the ""Assignment"" tab of the ""Placeholder object"" dialog).",No category,Monolingual text,Not defined,No,Yes,FORM_PLACEHOLDER_FORMAT
13061,Graphic for jumpers: Female pin end,Form,Placeholder for generating graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_JACKSIDE
13062,Graphic for jumpers: Male pin end,Form,Placeholder for generating graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_PINSIDE
13063,Consecutive number,Form,"Can be used in the data area and in the data header area of reports that are output in list form (for example parts lists, summarized parts lists, terminal strip overviews, etc.) in order to number all of the rows. Every report block is separately numbered. The property can also be used at a manufacturing data export.",No category,Monolingual text,Not defined,No,Yes,FORM_LINE_COUNTER
13065,Graphic for internal saddle jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SADDLE_INTERNAL
13066,Graphic for external saddle jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SADDLE_EXTERNAL
13073,Graphic for insertable jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_INSERTION
13074,Graphic for internal insertable jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_INSERTION_INTERNAL
13075,Graphic for external insertable jumpers,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_INSERTION_EXTERNAL
13089,Number of combined records,Form,"This property can be used together with the ""Combine in a line by"" (ID 13111) property and indicates the number of objects that have been combined in a line.",No category,Integer,Not defined,No,Yes,FORM_SUMOBJECTSCOUNT
13091,Number of targets at target connection point,Form,"This property can be used in terminal diagrams to identify connections that originate from a terminal and connect, from a terminal target, other targets. The value contains the number of the targets identified at the target connection point. In this context, only wire targets are considered, but no jumper targets.",No category,Integer,Not defined,No,Yes,FORM_NUMBER_OF_DESTINATION
13092,Consecutive number (header),Form,"Can be used in reports that are output in list form (e.g. parts lists, summarized parts lists, terminal strip overviews, etc.) in order to number all of the rows. Every report block is separately numbered. Within a report block, the row number starts again with ""1"" when the header changes.",No category,Monolingual text,Not defined,No,Yes,FORM_LINE_COUNTER_CAPTION
13093,Consecutive number (page),Form,"Can be used in reports that are output in list form (e.g. parts lists, summarized parts lists, terminal strip overviews, etc.) in order to number all of the rows. Every report block is separately numbered. Within a report block, the row number starts on each new page again with ""1"".",No category,Monolingual text,Not defined,No,Yes,FORM_LINE_COUNTER_PAGE
13094,Graphic for internal switching jumpers,Form,"Placeholder for generated graphics in reports. In the report, by way of a simple graphic, it is shown whether terminals are connected to each other via a closed or open switching jumper.",No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SWITCHABLE_INTERNAL
13095,Graphic for external switching jumpers,Form,"Placeholder for generated graphics in reports. In the report, by way of a simple graphic, it is shown whether terminals are connected to each other via a closed or open switching jumper.",No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SWITCHABLE_EXTERNAL
13097,Graphic for saddle jumper slot 3,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SADDLE_SLOT_3
13098,Graphic for saddle jumper slot 4,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SADDLE_SLOT_4
13107,Cable graphic,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_CABLELINE
13122,Graphic for saddle jumper slot 5,Form,Placeholder for generated graphics in reports.,No category,Monolingual text,Not defined,No,Yes,FORM_GRAPHIC_JUMPER_SADDLE_SLOT_5
