ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20007,"DT (identifying, without subordinate DT)",Function (base object),Provides the identifying device tag without the subordinate DT. The property is used in the navigator in the tree view.,No category,Monolingual text,Not defined,No,Yes,FUNC_IDENTDEVICETAGWITHOUTNESTEDDEVTAG
20009,"DT (full, without project structures)",Function (base object),"Provides the device tag without the project structures, i.e., the following is output:",No category,Monolingual text,Not defined,No,Yes,FUNC_DEVICETAG_FULL
20095,Identifying name elements,Function (base object),"Outputs a single value for the DT that is structured in such a way that it can be separated into individual parts and the structure elements assigned, even when using block properties and when the ""Edit DT in individual fields"" property (ID 10090) is enabled. If there is no format for block properties and the ""Edit DT in individual fields"" property is not enabled, this property corresponds precisely to the ""Name (identifying)"" property (ID 20000); otherwise the property outputs the individual parts of the DT using separators.",No category,Monolingual text,Not defined,No,Yes,FUNC_IDENTNAMEPARTS
20096,Identifying DT elements,Function (base object),"Outputs a single value for the DT that is structured in such a way that it can be separated into individual parts and the structure elements assigned, even when using block properties and when the ""Edit DT in individual fields"" property (ID 10090) is enabled. If there is no format for block properties and the ""Edit DT in individual fields"" property is not enabled, this property corresponds precisely to the ""Device tag (identifying)"" property (ID 20005); otherwise the property outputs the individual parts of the DT using separators.",No category,Monolingual text,Not defined,No,Yes,FUNC_IDENTDEVICETAGPARTS
20150,DT: Page,Function (base object),"Name of the page, can be used in the DT. This property is available only in certain, customer-specific Eplan versions, and can be used if you have selected the ""Edit DT in individual fields"" project setting.",No category,Monolingual text,Not defined,No,Yes,FUNC_DT_PAGECOUNTER
20151,DT: Subpage,Function (base object),"Name of the subpage; can be used in the DT. This property is available only in certain, customer-specific Eplan versions, and can be used if you have selected the ""Edit DT in individual fields"" project setting.",No category,Monolingual text,Not defined,No,Yes,FUNC_DT_PAGESUBCOUNTER
20152,DT: Column,Function (base object),"Plot frame column, can be used in the DT. This property is available only in certain, customer-specific Eplan versions, and can be used if you have selected the ""Edit DT in individual fields"" project setting.",No category,Monolingual text,Not defined,No,Yes,FUNC_DT_COLUMN
20153,DT: Row,Function (base object),"Plot frame row, can be used in the DT. This property is available only in certain, customer-specific Eplan versions, and can be used if you have selected the ""Edit DT in individual fields"" project setting.",No category,Monolingual text,Not defined,No,Yes,FUNC_DT_ROW
20154,DT: Section,Function (base object),"Can be used in the DT. This property is available only in certain, customer-specific Eplan versions, and can be used if you have selected the ""Edit DT in individual fields"" project setting.",No category,Monolingual text,Not defined,No,Yes,FUNC_DT_SECTION
20155,DT: Application,Function (base object),"Can be used in the DT. This property is available only in certain, customer-specific Eplan versions, and can be used if you have selected the ""Edit DT in individual fields"" project setting.",No category,Monolingual text,Not defined,No,Yes,FUNC_DT_FUNCTIONCODE
