ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
1122,Function designation (leading identifiers),Page,"Supplies leading identifiers up to the hierarchy level specified by the index, for example, ""A.UA.UA2"" for index 3 for a function designation ""A.UA.UA2.UA3.UA4"".",No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_PLANT_LEADINGPARTS
1222,Location designation (leading identifiers),Page,"Supplies leading identifiers up to the hierarchy level specified by the index, for example, ""O.UO.UO2"" for index 3 for a location designation ""O.UO.UO2.UO3.UO4"".",No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_LOCATION_LEADINGPARTS
1322,Functional assignment (leading identifiers),Page,,No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_FUNCTIONALASSIGNMENT_LEADINGPARTS
1422,Installation site (leading identifiers),Page,,No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_PLACEOFINSTALLATION_LEADINGPARTS
1522,Document type (leading identifiers),Page,,No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_DOCTYPE_LEADINGPARTS
1622,User-defined structure (leading identifiers),Page,,No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_USERDEFINED_LEADINGPARTS
1722,Higher-level function number (leading identifiers),Page,,No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_INSTALLATIONNUMBER_LEADINGPARTS
1822,Product (leading identifiers),Page,,No category,Monolingual text,Not defined,"Yes, 10",Yes,DESIGNATION_PRODUCT_LEADINGPARTS
11012,Page counter,Page,"This property can be used in forms (for example for the Table of contents), but is not designed for use in filters.",No category,Monolingual text,Not defined,No,Yes,PAGE_COUNTER
11013,Page subcounter,Page,"This property can be used in forms (for example for the Table of contents), but is not designed for use in filters.",No category,Monolingual text,Not defined,No,Yes,PAGE_SUBCOUNTER
11029,Page type (ID),Page,"Defines the page type, i.e. whether it is a page for schematics, mounting panels, terminal diagrams, etc.",No category,Integer,Not defined,No,Yes,PAGE_TYPE_NUMERIC
11038,Structure identifier with separators stored in the object identifier,Page,The unique structure identifier without leading separator stored in the object identifier. An empty string is output either if no valid structure identifier is stored in the object identifier or if several structure identifiers are stored. This property serves for display purposes in the page navigator.,No category,Monolingual text,Not defined,No,Yes,PAGE_OBJECTCODE_STRUCTUREWITHOUTPREFIX
11039,Part of the structure identifier without separators stored in the object identifier,Page,Supplies a part of the unique structure identifier without leading separator stored in the object identifier. An empty string is output either if no valid structure identifier is stored in the object identifier or if several structure identifiers are stored. This property serves to display in the page navigator.,No category,Monolingual text,Not defined,"Yes, 10",Yes,PAGE_OBJECTCODE_STRUCTUREPARTWITHOUTPREFIX
11045,Contains results in the search results list,Page,With the help of this property the pages contained in the search results list can be taken into consideration when pages are filtered.,No category,Boolean (True / False),Not defined,No,Yes,PAGE_HAS_RESULTS_IN_SEARCHLIST
11075,Associated project revision (change tracking),Page,"Outputs the internal index value of the associated project revision (from change tracking) on a page; max. 1,000 entries are allowed.",No category,Monolingual text,Not defined,"Yes, 1000",No,PAGE_REVISION_LOG_PROJ_REV
