ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
10001,Project structure: Functional assignment,Project,"Project structure for the functional assignment, identified by ""=="".",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_FUNCTIONALASSIGNMENT
10002,Project structure: Function designation,Project,"Project structure for the function designation, identified by ""="".",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_PLANT
10003,Project structure: Installation site,Project,"Project structure for the installation site, identified by ""++"".",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_PLACEOFINSTALLATION
10004,Project structure: Location designation,Project,"Project structure for the location designation, identified by ""+"".",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_LOCATION
10005,Project structure: Higher-level function number,Project,Project structure for the higher-level function number in fluid power.,No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_INSTALLATIONNUMBER
10006,Project structure: Document type,Project,The document type valid only for pages and external documents is stored in this project structure. The KKS identifier is normally entered here.,No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_DOCUMENTSTRUCTURE
10007,Project structure: User-defined structure,Project,Defines the structure of the user-defined structure.,No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_USERDEFINED
10008,Show tab for DT structures,Project,"Controls the visibility of the ""Structure"" tab in the project properties.",No category,Boolean (True / False),Not defined,No,No,PROJ_SHOWDTSTRUCTURETAB
10012,Use page name in DT,Project,This setting is used to monitor whether the page name for devices is to be adopted in the prefix of the DT.,No category,Boolean (True / False),Not defined,No,No,PROJ_HIERARCHY_TAKEOVERPAGENUMBER
10018,Separator for structures,Project,Contains all structure separators in coded form (except the document structure).,No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_CODEDSEPARATORS
10019,Nested device tags,Project,This stores a coded value defining which device tags are nested and in what manner.,No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_CODEDNESTINGSETTINGS
10029,Superior structure formats,Project,"A coded value is stored here, indicating which structures are to be ""superior"", i.e. the identifying name or DT element.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_SPECIALDINMODE
10050,Structure format for pages,Project,"Specifies the structure format, i.e., the identifying name elements, for the page name.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_PAGE
10051,Structure format for interruption points,Project,"Specifies the structure format, i.e., the identifying name elements, for interruption points.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_INTERRUPTIONPOINT
10053,Structure format for busbars,Project,"Specifies the structure format, i.e., the identifying DT elements, for busbars.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_BUSBAR
10054,Superior structure format for all devices,Project,Defines the superior structure format for all devices.,No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_MASTERDEVICES
10055,Structure format for general devices,Project,"Specifies the structure format, i.e., the identifying DT elements, for general devices.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_STANDARDDEVICE
10056,Structure format for black boxes,Project,"Specifies the structure format, i.e., the identifying DT elements, for black boxes.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_DEVICEBOX
10057,Structure format for PLC / bus technology,Project,"Specifies the structure format, i.e., the identifying DT elements, for PLC/bus technology.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_PLC
10059,Structure format for terminal strips,Project,"Specifies the structure format, i.e., the identifying DT elements, for terminal strips.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_TERMINALSTRIP
10060,Structure format for plugs,Project,"Specifies the structure format, i.e., the identifying DT elements, for plugs.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_PLUG
10061,Structure format for cables,Project,"Specifies the structure format, i.e., the identifying DT elements, for cables.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_CABLE
10062,Structure format for structure boxes,Project,"Specifies the structure format, i.e., the identifying DT elements, for structure boxes.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_LOCATIONBOX
10063,Structure format for fluid devices,Project,"Specifies the structure format, i.e., the identifying DT elements, for Fluid devices.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_FLUID
10064,Structure format for fluid connection splicer / line connector,Project,"Specifies the structure format, i.e., the identifying DT elements, for Fluid connection splicers / line connectors.",No category,Monolingual text,Not defined,No,No,PROJ_HIERARCHY_DISTRIBUTOR
10070,Naming format for pages,Project,"Specifies the naming format, i.e., the identifying and descriptive name elements, for pages.",No category,Monolingual text,Not defined,No,No,PROJ_NAMEFORMAT_PAGE
