ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20097,Process object,Function,"Helps you enter and display certain process data, e.g. a measurand or condition information.",PLC data,Monolingual text,Not defined,No,No,FUNC_PLCPROCESSDATA
20108,Configuration project (indirect),Function,"For a PLC connection point, this shows the configuration project of the associated PLC box. At bus ports of the ""Overview"" representation type the value is determined at the same single-line bus port.",PLC data,Monolingual text,Not defined,No,Yes,FUNC_PLCCONFIGURATIONPROJECT_INDIRECT
20161,Configuration project (at PLC boxes and bus ports),Function,Main group orientation element of bus data. All objects to which the same configuration project is assigned belong together and represent the PLC configuration.,PLC data,Monolingual text,Not defined,No,No,FUNC_PLCCONFIGURATIONPROJECT
20162,PLC object ID (at functions),Function,Unique identifier for data exchange / synchronization between Eplan Electric P8 and PLC configuration systems. The object ID uniquely identifies objects of this configuration system.,PLC data,Monolingual text,Not defined,No,No,FUNC_PLCOBJECTID
20164,Bus coupler / head station,Function,Identifies a device as a bus coupler or head station. In the case of a head station the Rack property has to be filled additionally for the respective PLC card.,PLC data,Boolean (True / False),Not defined,No,No,FUNC_PLCISBUSCOUPLER
20167,CPU,Function,Identifies a PLC box as the central processing unit (the processor) of a PLC controller.,PLC data,Boolean (True / False),Not defined,No,No,FUNC_PLCISCPU
20184,Power supply,Function,Identifies the device as a power supply.,PLC data,Boolean (True / False),Not defined,No,No,FUNC_PLCISPOWERSUPPLY
20189,Bus distribution device,Function,Entered on a PLC box and identifies it as a bus distribution device.,PLC data,Boolean (True / False),Not defined,No,No,FUNC_PLCISBUSDISTRIBUTOR
20196,Without sensor / actuator search for symbolic address,Function,"If this property is enabled, no sensor/actuator search is carried out when establishing the ""Symbolic address (automatic)"" for an I/O connection point. Instead, the address is output when the ""Use address if search for symbolic address is unsuccessful"" project setting is enabled.",PLC data,Boolean (True / False),Not defined,No,No,FUNC_PLCNO_TARGETSEARCH_FOR_AUTOSYMBOLICADDRESS
20253,CPU: Name,Function,"Name of the central processing unit (the processor) of a PLC controller. The CPU name has to be unique within the Eplan project. For all PLC boxes always enter the complete CPU name in the form [Configuration project].[Station ID].[CPU identifier], for example ""Siemens SIMATIC S7.Station 300.1"".",PLC data,Monolingual text,Not defined,"Yes, 128",No,FUNC_PLCCPU_NAME
