ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20105,Suppress in bill of materials (if filtered),Connection,This setting allows suppressing the part reference in the bill of materials by specifying an appropriate filter there. A max. of 50 parts references are reported.,Part,Boolean (True / False),Not defined,"Yes, 50",No,FUNC_ARTICLE_SUPPRESSINPARTSLIST
20907,Spare part,Connection,"Identifies a spare part, e.g. the name of the item that can replace the defective or worn part. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_SPARE
20908,Wearing part,Connection,"Identifies a wearing part, e.g. the position of an item that is especially prone to wear. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_WEAR
20909,Service time,Connection,The time during which a technical system or object can be used without exchanging core components or a complete breakdown. A max. of 50 definitions can be defined using the index.,Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_LIFETIME
20910,Stress,Connection,"The types of stress differentiate between mechanical movement values (static and dynamic) and environmental influences (e.g., moisture, heat, chemical reactions). A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_STRESS
20911,Procurement,Connection,Estimated time required to obtain the part. A max. of 50 definitions can be defined using the index.,Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_USAGE
20912,Lubrication / maintenance,Connection,"Lubrication / maintenance information, e.g. the maintenance interval. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_MAINTENANCE
20915,Suppl. field: Text,Connection,"Supplementary field for part reference data. Serves for the entry of free additional properties. Entry is effected in the user interface via a text box. You have to note the meaning specified by you of the supplementary field. The index is used to carry out the assignment of the associated part reference, max. 50 supplementary fields can be specified. The value of this property is transferred to the ""Suppl. field Text"" (ID 20501) property that can be used, for example, in block properties, in reports and during the manufacturing data export.",Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_ADDITIONAL_TEXTFIELD
20916,Supplementary field Yes / No,Connection,"Supplementary field for part reference data. Serves for the entry of free additional properties that can only assume two values (""Yes"" or ""No""). Entry is effected in the user interface via a check box. You have to note the meaning specified by you of the supplementary field. The index is used to carry out the assignment of the associated part reference, max. 50 supplementary fields can be specified. The value of this property is transferred to the ""Suppl. field Yes / No"" (ID 20502) property that can be used, for example, in block properties, in reports and during the manufacturing data export.",Part,Boolean (True / False),Not defined,"Yes, 50",No,FUNC_ARTICLE_ADDITIONAL_BOOLFIELD
20917,External placement,Connection,Identifies the part as being externally placed and thus excludes it from panel layout reports. A max. of 50 definitions can be defined using the index.,Part,Boolean (True / False),Not defined,"Yes, 50",No,FUNC_ARTICLE_EXTERNAL_PLACEMENT
20918,Part: Mounting surface,Connection,A max. of 50 mounting surfaces can be defined using the index.,Part,Integer,Not defined,"Yes, 50",No,FUNC_ARTICLE_MOUNTINGSITE
20919,Order number,Connection,A max. of 50 order numbers can be defined using the index.,Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_ORDERNR
20920,Supplier,Connection,A max. of 50 suppliers can be defined using the index.,Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_SUPPLIER
20921,Manufacturer,Connection,A max. of 50 manufacturers can be defined using the index.,Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_MANUFACTURER
20924,Bill of materials group,Connection,"You can use this property to group the parts data of components, serial machines, etc. and to make these groups visible in the bill of materials navigator. The property can be used for filtering in the bill of materials and 3D mounting layout navigator and is available in the reports for the bill of materials and for editing in tables.",Part,Monolingual text,Not defined,"Yes, 50",No,FUNC_ARTICLEREF_PARTSLISTGROUP
26184,"Output speed, max.",Connection,Maximum rotation speed at the output shaft.,Part,Value with unit,Rated speed,"Yes, 50",No,FUNC_ARTICLE_OUTPUT_SPEED_MAX
26186,"Output speed, min.",Connection,Minimum rotation speed at the output shaft in the working range.,Part,Value with unit,Rated speed,"Yes, 50",No,FUNC_ARTICLE_OUTPUT_SPEED_MIN
26189,Dynamic viscosity range: Start value,Connection,Lowest value of the dynamic viscosity specified for a particular product or material. The dynamic viscosity is a measure of the viscosity of a fluid and is measured in pascal seconds (Pa·s).,Part,Value with unit,Dynamic viscosity,"Yes, 50",No,FUNC_ARTICLE_INITIAL_VALUE_OF_THE_DYNAMIC_VISCOSITY_RANGE
26191,"Starting current, max.",Connection,Maximum starting current of electrical consumers.,Part,Value with unit,Amperage,"Yes, 50",No,FUNC_ARTICLE_STARTING_CURRENT_A
26193,Switch-on time,Connection,Time interval which has elapsed between the application of the control signal (electrical or pneumatic) and the pressure increase at the corresponding valve outlet until 10% of the specified working pressure is reached.,Part,Value with unit,Time,"Yes, 50",No,FUNC_ARTICLE_START_UP_TIME
26195,Intake capacity,Connection,The ability of a system to draw in a certain amount of air or gas per unit of time. The value is given in cubic meters per hour (m³/h).,Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_INTAKE_CAPACITY
26197,Intake volume,Connection,Volume of the air or gas drawn in by the device within a certain period. The value is specified in cubic meters (m³).,Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_INTAKE_VOLUME
26199,"Intake flow rate, max.",Connection,"Maximum flow rate within the working range of the conveyed gas at the outlet point of a fluid machine in relation to the conditions prevailing at the inlet point for the total temperature, the total pressure and the gas composition (e.g. humidity).",Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_SUCTION_VOLUME_FLOW_MAX
26201,"Intake flow rate, min.",Connection,"Minimum flow rate within the working range of the conveyed gas at the outlet point of a fluid machine in relation to the conditions prevailing at the inlet point for the total temperature, the total pressure and the gas composition (e.g. humidity).",Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_INTAKE_VOLUME_FLOW_MIN
26203,Measuring transducer: Line connection (cable / pipe),Connection,"The way in which a measuring transducer is connected to cables or pipes (e.g., ""plugged"" or ""cast"" for a pressure measuring transducer during a submersion / well measurement).",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_CABLE_PIPE_TRANSMITTER_CONNECTION
26205,Connection point type,Connection,Physical design of the connection point via which an electrical device can be connected. The way in which a motor is connected in the circuit. Type of wiring used to connect the connection cable to the device.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_CONNECTION_TYPE
26207,Connecting cable: Length,Connection,Length of the connection cable.,Part,Value with unit,Length,"Yes, 50",No,FUNC_ARTICLE_CONNECTION_CABLE_LENGTH
26209,Connecting cable: Application area,Connection,Type of usage of the connection cable.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_APPLICATION_RANGE_OF_THE_CONNECTION_CABLE
26211,BACnet: Total number of objects,Connection,Number of all objects or object types in the BACnet protocol.,Part,Integer,Not defined,"Yes, 50",No,FUNC_ARTICLE_TOTAL_NUMBER_OF_BACNET_OBJECTS
26213,BACnet: Number of I/O objects,Connection,Number of all I/O objects in the BACnet protocol.,Part,Integer,Not defined,"Yes, 50",No,FUNC_ARTICLE_NUMBER_OF_BACNET_I_O_OBJECTS
26215,BACnet: Number of hardware interfaces,Connection,Number of hardware interfaces in the BACnet protocol.,Part,Integer,Not defined,"Yes, 50",No,FUNC_ARTICLE_NUMBER_OF_HW_INTERFACES_BACNET
26217,Number of inputs,Connection,Number of inputs.,Part,Integer,Not defined,"Yes, 50",No,FUNC_ARTICLE_NUMBER_OF_INPUTS
26220,Type of flow,Connection,"The way in which a medium (e.g., liquid or gas) flows through a system or component. The value can be specified as mass flow or volume flow.",Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_TYPE_OF_FLOW
26222,Retention volume,Connection,Volume which a container or a device can receive for collecting excess fluids or materials. This is relevant to prevent leaks or overflows.,Part,Value with unit,Volume,"Yes, 50",No,FUNC_ARTICLE_COLLECTION_VOLUME
26224,Reception volume,Connection,Volume which a container or a device can receive for collecting a specific amount of fluids or materials. This is relevant for the capacity and storage of materials.,Part,Value with unit,Volume,"Yes, 50",No,FUNC_ARTICLE_ABSORPTION_VOLUME
26228,BACnet,Connection,"Specification whether a device or system supports the BACnet protocol. Possible specifications are, for example, the BACnet version, BACnet object types, communication interfaces or certifications. BACnet (Building Automation and Control Networks) is a data transfer protocol for building automation and building control.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_BACNET
26231,Provision of cable gland,Connection,Specifies who is responsible for the provision of the cable gland. The cable gland can be provided as a separate component or can already be included in the scope of delivery of a device or system.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_PROVISION_OF_THE_CABLE_GLAND
26233,Provision of cable,Connection,Specifies who is responsible for the provision of the cable. The cable can be provided as a separate component or can already be included in the scope of delivery of a device or system.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_PROVISION_OF_THE_CABLE
26235,Rated apparent power,Connection,"Power specification of the manufacturer, which results from the root mean square values of the electric current and voltage and is composed of an active power component and a reactive power component and was determined under specified conditions and rules. It identifies the power to be supplied or to be output of an electrical device.",Part,Value with unit,Power,"Yes, 50",No,FUNC_ARTICLE_RATED_APPARENT_POWER
26238,Operating temperature,Connection,Temperature range in which a device can be operated safely and reliably taking into account the ambient temperature.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_OPERATING_TEMPERATURE
26240,"Operating temperature, max.",Connection,Maximum temperature at which a device can be operated safely and reliably.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_OPERATING_TEMPERATURE_MAX
26242,"Operating temperature, min.",Connection,Minimum temperature at which a device can be operated safely and reliably.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_OPERATING_TEMPERATURE_MIN
26244,Fire protection properties,Connection,"Specifies which fire protection properties the object, for example a device or a cable bundling tube, fulfills.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_FIRE_PROTECTION_PROPERTIES
26246,CO2 emission,Connection,Specification of carbon dioxide emission in milligrams per kilowatt-hour. The emission data for air emissions are specified in the unit E3 kg/TJ. They can be converted into the more common unit g/kWh by multiplying by the factor 3.6.,Part,Value with unit,Emission,"Yes, 50",No,FUNC_ARTICLE_CO2_EMISSION
26248,Torque,Connection,Measured torque of the motor.,Part,Value with unit,Work,"Yes, 50",No,FUNC_ARTICLE_TORQUE_
26250,Torque (at max. rotation speed),Connection,Torque at the maximum permissible output speed of the drive engine.,Part,Value with unit,Work,"Yes, 50",No,FUNC_ARTICLE_TORQUE_AT_MAX_SPEED
26252,Torque (at min. rotation speed),Connection,Torque at the minimum permissible output speed of the drive engine.,Part,Value with unit,Work,"Yes, 50",No,FUNC_ARTICLE_TORQUE_AT_MIN_SPEED
26254,"Torque, max.",Connection,Maximum mechanically permissible torque that the motor can output to the output shaft.,Part,Value with unit,Work,"Yes, 50",No,FUNC_ARTICLE_TORQUE_MAX_
26256,"Rotation speed, max.",Connection,Maximum permitted rotational speed for a tool or a tool holder.,Part,Value with unit,Frequency,"Yes, 50",No,FUNC_ARTICLE_SPEED_MAX
26258,"Rotation speed, min.",Connection,Minimum possible rotation speed at which a motor can be operated continuously at the thermally permissible rated operating point.,Part,Value with unit,Frequency,"Yes, 50",No,FUNC_ARTICLE_SPEED_MIN
26260,Pressure level,Connection,"Maximum pressure load that an item or material can withstand without being damaged. This specification is important for components that are operated in pressure systems or under high pressure, such as pipes, valves or pressure vessels. The pressure level is usually expressed in bar or pascal (Pa).",Part,Value with unit,Pressure,"Yes, 50",No,FUNC_ARTICLE_PRESSURE_STAGE
26262,Pressure level of secondary housing,Connection,Specification of the nominal pressure of the secondary housing of a process measuring instrument.,Part,Value with unit,Pressure,"Yes, 50",No,FUNC_ARTICLE_SECONDARY_CASING_PRESSURE_STAGE
26264,Flow rate (operating / standard volume flow),Connection,"Substance quantity per time unit stated as operating or standard flow rate. The most common unit for a flow rate is cubic meters per second (m³/s). For certain orders of magnitude or applications, other units are also customary, for example milliliters per minute.",Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_FLOW_RATE_OPERATING_NORMAL_VOLUME_FLOW
26266,Flow rate,Connection,Quotient of the volume of a substance flowing through the device and the time required for this.,Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_FLOW_RATE
26268,Flow direction: Operating flow direction,Connection,"Direction of flow of a hydraulic device during the normal operation of a system. This specification is relevant for the correct function and efficiency of measuring instruments and control valves, which possibly must only work in a specific direction.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_FLOW_DIRECTION
26270,Throughput,Connection,Quantity that is processed or transferred within a specified time period through a predefined limit. Kvs value of the valve in cubic meters per hour (m³/h).,Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_THROUGHPUT
26272,Effective delivery amount,Connection,Volume of material dispensed per time unit.,Part,Value with unit,Quantity,"Yes, 50",No,FUNC_ARTICLE_EFFECTIVE_DELIVERY_RATE
26274,Mounting configuration,Connection,"Specific manner in which a part is installed or mounted. This includes, for example, the positioning, the alignment or the placement within a predefined geometric shape.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_MOUNTING_FORM
26276,Mounting length,Connection,"Total length (in mm) of the part of a device or component that is located within a container, for example the length of a sensor.",Part,Value with unit,Length,"Yes, 50",No,FUNC_ARTICLE_INSTALLATION_LENGTH
26278,Mounting length: Protective tube,Connection,Mounting length of the protective tube (in mm).,Part,Value with unit,Length,"Yes, 50",No,FUNC_ARTICLE_FITTING_LENGTH_OF_THE_PROTECTION_TUBE
26280,Input flow rate,Connection,Flow rate flowing through the input connection.,Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_INPUT_VOLUME_FLOW
26282,Unit,Connection,Specifies the measuring unit.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_UNIT
26284,Operating mode,Connection,The way in which a product or service is used.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_TYPE_OF_USE
26286,Operating area,Connection,"Recommended area of use, e.g., indoor or outdoor area.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_RANGE_OF_APPLICATION
26288,Operating area: Cable,Connection,Foreseen operating area of the cable.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_APPLICATION_AREA_OF_THE_CABLE
26290,Possible uses,Connection,"Application areas or types of usage for which a product or a component is suitable. Example: Residential area, industry, office.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_POSSIBLE_APPLICATIONS
26292,Operating location,Connection,"Physical locations or environments for which a product or component is suitable. Example: Outdoor area, indoor area.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_LOCATION
26294,Duty cycle,Connection,The ratio of the switch-on time to the total time for a predetermined time interval.,Part,Value with unit,Time,"Yes, 50",No,FUNC_ARTICLE_DUTY_CYCLE
26296,Inrush current,Connection,Electrical current that flows when the device is switched on.,Part,Value with unit,Amperage,"Yes, 50",No,FUNC_ARTICLE_INRUSH_CURRENT
26300,Dynamic viscosity range: End value,Connection,Highest value of the dynamic viscosity specified for a particular product or material. The dynamic viscosity is a measure of the viscosity of a fluid and is measured in pascal seconds (Pa·s).,Part,Value with unit,Dynamic viscosity,"Yes, 50",No,FUNC_ARTICLE_END_VALUE_OF_THE_DYNAMIC_VISCOSITY_RANGE
26302,Energy efficiency class,Connection,"Assessment scale that shows how much energy an electrical device uses compared to other devices. The energy efficiency class can be determined, for example, in accordance with the EU-wide standard method ""Energy Label Classification"" and can be specified in the graduations A to G.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_ENERGY_EFFICIENCY_CLASS
26304,Energy efficiency class (motor),Connection,Characterization of the energy efficiency of electric motors in accordance with international standards.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_ENERGY_EFFICIENCY_CLASS_MOTOR
