ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
13001,Plot frame to edit form,Form,The plot frame that is used for editing the form.,Settings,Monolingual text,Not defined,No,No,FORM_FRAME
13002,Form handling,Form,"Defines the form as being static or dynamic: 0 = static, 1 = dynamic.",Settings,Boolean (True / False),Not defined,No,No,FORM_BEHAVIOUR_STATIC_DYN
13003,Regenerate header after change,Form,"In this form property, you define the properties that cause a new data header area to be generated on the report page when they change.",Settings,Monolingual text,Not defined,No,No,FORM_RECREATE_MAINTITLE
13004,No. of columns,Form,Maximum number of columns to be generated on a page.,Settings,Integer,Not defined,No,No,FORM_COL_SIZE
13005,No. of rows,Form,Maximum number of rows to be generated on a page.,Settings,Integer,Not defined,No,No,FORM_ROW_SIZE
13006,Column width,Form,Width of the individual columns on a form.,Settings,Coordinates (only X or Y),Not defined,No,No,FORM_COL_WIDTH
13007,Row height,Form,Height of the individual rows on a form.,Settings,Coordinates (only X or Y),Not defined,No,No,FORM_ROW_HEIGHT
13008,Form orientation,Form,"Sequence in which rows and columns are to be filled out: 0 = By row or 1 = By column. ""By row"" means that all the cells of a row are populated first before switching to the next row. In this case, jumpers are displayed vertically. ""By column"" means that all cells of a column are populated first before switching to the next column. In this case, jumpers are displayed horizontally.",Settings,Integer,Not defined,No,No,FORM_BEHAVIOUR_ROW_COL
13009,Dynamic line adjustment,Form,"If indirect properties are indexed with 0, then the values for all (meaningful) indices are printed together. This is generally done using one-row lists separated by semicolons. In forms, however, you can output these values as separate elements (rows/columns).",Settings,Boolean (True / False),Not defined,No,No,FORM_DYN_ROW_ALIGN
13010,Jumpers: Height of first level,Form,Height of a first level jumper in the terminal diagram.,Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_FIRST_LEV_HEIGHT
13011,Connections,Form,"Used in forms for representing the terminal diagram. The assignment of a connection to two connection points is thus shown as a three-tuple (an ordered quantity of assignments); multiple connection assignments are each separated by a ""pipe"" character.",Settings,Monolingual text,Not defined,No,No,FORM_CABLE_ASSIGNMENT_CONNECTED_TERMINALS
13012,Jumpers: Spacing,Form,Clearance between two jumpers at neighboring levels.,Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_DISTANCE
13013,Jumpers: Radius for nodes,Form,"If jumpers are shown graphically in terminal diagrams, a small filled circle is set on the base line on each leg of the jumper. The radius of this circle is specified with this property (in software coordinates).",Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_CP_RADIUS
13014,Jumpers: Radius of connecting points,Form,"Nodes of jumpers are graphically shown in the terminal diagram with a small filled circle. The radius of this circle is specified with this property (in software coordinates). (Start and end ""legs"" do not have dots.)",Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_NODE_RADIUS
13015,Jumpers: Height of internal wire jumper / insertable jumper,Form,"Height of an internal wire jumper or insertable jumper of the first level in the terminal diagram. If the property is not set, the ""Jumpers: Height of first level"" property is used instead.",Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_WIRE_JUMPER_INT_HEIGHT
13016,Jumpers: Height of external wire jumper/ insertable jumper,Form,"Height of an external wire jumper or insertable jumper of the first level in the terminal diagram. If the property is not set, the ""Jumpers: Height of first level"" property is used instead.",Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_WIRE_JUMPER_EXT_HEIGHT
13017,Jumpers: Spacing of internal wire jumper/ insertable jumper,Form,"Clearance between two internal wire jumpers or insertable jumpers at neighboring levels. If the property is not set, the ""Jumpers: Height of first level"" property is used instead.",Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_WIRE_JUMPER_INT_DISTANCE
13018,Jumpers: Spacing of external wire jumper/ insertable jumper,Form,"Clearance between two external wire jumpers or insertable jumpers at neighboring levels. If the property is not set, the ""Jumpers: Height of first level"" property is used instead.",Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_WIRE_JUMPER_EXT_DISTANCE
13019,Format for automatic page description,Form,Format for automatically assigned page descriptions in the generation of reporting lists.,Settings,Monolingual text,Not defined,No,No,FORM_PAGE_DESC_AUTOFORMAT
13020,Assignment: Index to graphic,Form,"A fixed graphic can be inserted in connection diagrams or other forms using the ""Graphic"" placeholder. The configuration property exists for the placeholder to allow the graphic to be exchanged with any other graphic. Here you assign an index value to the graphic. The graphic is then selected in the ""Graphic"" placeholder by specifying the index value.",Settings,Monolingual text,Not defined,No,No,FORM_RELATION_INDEX_GRAPHIC
13021,Assignment: Function definition to graphic,Form,Assignment of a function definition to a symbol variant. Used when generating a page in order to create a fixed symbol graphic.,Settings,Monolingual text,Not defined,No,No,FORM_RELATION_FUNC_DEF_GRAPHIC
13026,Assignment: Property / value to graphic,Form,Assignment of a property and / or a value to a symbol variant. This property contains the assignment table assigning a graphic to the property and / or the value. A max. of 10 assignments allowed.,Settings,Monolingual text,Not defined,"Yes, 10",No,FORM_BEHAVIOUR_PROPERTY_VAL_GRAPHIC
13027,Jumper display,Form,Graphical display of jumpers: 0 = Line or 1 = Angle.,Settings,Integer,Not defined,No,No,FORM_JUMPER_BEHAVIOUR_LINE_ANGLE
13028,Jumpers: Line thickness,Form,Line thickness used for displaying jumpers.,Settings,Coordinates (only X or Y),Not defined,No,No,FORM_JUMPER_LINE_WIDTH
13029,Jumpers: Number of levels,Form,Number of all jumper levels.,Settings,Integer,Not defined,No,No,FORM_JUMPER_COUNT_LAYERS
13030,Cable chart: No. of cables A,Form,Maximum number of columns or rows (dependent on the form orientation) that can be displayed in the cable chart (for terminal connection points with the form position A).,Settings,Integer,Not defined,No,No,FORM_CABLE_COUNT_A
13031,Cable chart: Spacing for data area A,Form,Distance to be displayed for the data area of the cable chart (for terminal connection points with the form position A).,Settings,Coordinates (only X or Y),Not defined,No,No,FORM_CABLE_DISTANCE_A
13032,Cable chart: No. of cables B,Form,Maximum number of columns or rows (dependent on the form orientation) that can be displayed in the cable chart (for terminal connection points with the form position B).,Settings,Integer,Not defined,No,No,FORM_CABLE_COUNT_B
