ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
11006,Automatically generated,Page,"Shows whether the page has been automatically generated, and provides information about the author:",Settings,Integer,Not defined,No,No,PAGE_AUTO_CREATED_INFO
11015,Form name,Page,Name of the form used by the page. Selection is made from a list of available forms.,Settings,Monolingual text,Not defined,No,No,PAGE_FORMULAR
11016,Plot frame name,Page,Name of the plot frame used by the page.,Settings,Monolingual text,Not defined,No,No,PAGE_FORMPLOT
11017,Page type,Page,"Defines the page type, i.e. whether it is a page for schematics, mounting panels, terminal diagrams, etc.",Settings,Monolingual text,Not defined,No,Yes,PAGE_TYPE
11035,Keep parts at placement,Page,"This property is evaluated during the generation of macros from a macro project, and assigned to the generated macro variants. If the property is activated, the macro stored on the part is placed unchanged when a device is inserted. The part number of the device is not used in this case, but instead the part numbers entered in the macro are retained.",Settings,Boolean (True / False),Not defined,No,No,PAGE_KEPP_PARTS_BY_INSERT_MACRO
11044,Scale (ratio),Page,"Shows the contents of the property Scale (ID 11048) as a property, for example ""10 : 1"" or ""1 : 4"". You can place this property as a special text on project pages.",Settings,Monolingual text,Not defined,No,Yes,PAGE_SCALE_RELATION
11048,Scale,Page,"Scale 1:x. A dimension definition can be added to every page, regardless of type. This is required when you are using dimensions or to correctly scale graphical macros when inserting them.",Settings,Decimal number,Not defined,No,No,PAGE_SCALE
11051,Grid,Page,Raster setting of the page.,Settings,Coordinates (only X or Y),Not defined,No,No,PAGE_SOLUTION
11058,External document,Page,"External document that is integrated into the project via the page type ""External document"". In doing so, the external document is referenced by an entry in the page properties.",Settings,Monolingual text,Not defined,No,No,PAGE_EXTDOCUMENT
11060,Change of standard: Do not rotate and flip,Page,"Pages with this property are not rotated or flipped when changing standards. This property is activated by default for pages with type ""Fluid power schematic"".",Settings,Boolean (True / False),Not defined,No,No,PAGE_DONT_CHANGESTANDARD
12027,String for column designation,Page,"Set of character strings that overwrite the predefined column designations. Required for the project-wide numbering of columns and entered during automatic numbering. A character string is saved for each index value; max. 1,000 character strings allowed.",Settings,Monolingual text,Not defined,"Yes, 1000",No,FRAME_PATH_ALPHASET
