ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
16003,Default variant,Symbol,The symbol variant with which the symbol is placed as standard.,Settings,Integer,Not defined,No,No,SYMB_DEFAULT_VARIANT
16004,Default property arrangement for variant A,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_A
16005,Default property arrangement for variant B,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_B
16006,Default property arrangement for variant C,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_C
16007,Default property arrangement for variant D,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_D
16008,Default property arrangement for variant E,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_E
16009,Default property arrangement for variant F,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_F
16012,Prevent new placement,Symbol,"Prevents the symbol being used in new schematics. If this property is activated, then the symbol is no longer shown in the project symbol selection, i.e. it can no longer be newly inserted. The symbol can still be edited in the master data.",Settings,Boolean (True / False),Not defined,No,No,SYMB_PREVENTPLACEMENT
16014,Default property arrangement for variant G,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_G
16015,Default property arrangement for variant H,Symbol,"When placing the corresponding symbol variants, this assignment set is used for the properties.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_PROPERTYSET_H
16018,Main function,Symbol,,Settings,Integer,Not defined,No,No,SYMB_MAINFUNCTION
16019,Intrinsically safe,Symbol,Shows whether an intrinsically safe function is generated when using the symbol:,Settings,Integer,Not defined,No,No,SYMB_INTRINSICALLYSAFE
16027,Symbol representation type (encoded),Symbol,Shows in coded form the representation type of the symbol:,Settings,Integer,Not defined,No,No,SYMB_SYBMOLFUNCTIONTYPE
16033,Default property arrangement for variant A (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_A
16034,Default property arrangement for variant B (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_B
16035,Default property arrangement for variant C (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_C
16036,Default property arrangement for variant D (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_D
16037,Default property arrangement for variant E (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_E
16038,Default property arrangement for variant F (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_F
16039,Default property arrangement for variant G (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_G
16040,DXF export: Name of block,Symbol,Name of the block generated by the DXF / DWG export.,Settings,Monolingual text,Not defined,No,No,SYMB_DXF_BLOCKNAME
16041,Default property arrangement for variant H (alternative),Symbol,"Name of the alternative standard property arrangement (e.g. top right) for the GOST 2.701-84 standard. This property is used when the standard property arrangement is selected for the component and the ""Use alternative property arrangement"" project setting is enabled.",Settings,Integer,Not defined,No,No,SYMB_DEFAULT_ALTERNATIVE_PROPERTYSET_H
16042,With signal isolation,Symbol,Shows whether a function with signal isolation is generated when using the symbol. The visibility of the property depends on the type of symbol. The following values are possible:,Settings,Integer,Not defined,No,No,SYMB_POTENTIALSEPARATED
16044,Safety function,Symbol,Shows whether a function that is relevant to safety is generated when placing and replacing a symbol. The visibility of the property depends on the type of symbol. The following values are possible:,Settings,Integer,Not defined,No,No,SYMB_SAFETYRELEVANT
