ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
36044,Thermal design: Simultaneity factor (automatic),3D function,Is required for calculating the power dissipation. Displays the value of the simultaneity factor (if it exists). Otherwise the value from the project settings is used.,Thermal design,Decimal number,Not defined,No,Yes,FUNCTION3D_POWERDISSIPATION_SIMULTANEITYFACTOR_AUTOMATIC
36045,Thermal design: Simultaneity factor (device),3D function,Deviating simultaneity factor for this device compared to the project properties. Is required for calculating the power dissipation.,Thermal design,Decimal number,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_SIMULTANEITYFACTOR
36046,Thermal design: Air-conditioning field (automatic),3D function,Number of the air-conditioning field (1 to 100). Is required for calculating the power dissipation.,Thermal design,Integer,Not defined,No,Yes,FUNCTION3D_POWERDISSIPATION_ZONE_AUTOMATIC
36047,Thermal design: Air-conditioning field (device),3D function,Deviating number of the air-conditioning field of this device from the number of the air-conditioning field of the enclosure (1 to 100). Is required for calculating the power dissipation.,Thermal design,Integer,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_ZONE
36048,Thermal design: Device power dissipation,3D function,Calculated value of the power dissipation of this device under consideration of the simultaneity factor.,Thermal design,Value with unit,Not defined,No,Yes,FUNCTION3D_POWERDISSIPATION_AUTOMATIC
36049,Thermal design: Installation situation,3D function,"Installation situation of the enclosure, e.g. ""Single housing free-standing"". Is required for calculating the power dissipation.",Thermal design,Integer,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_CABINET_SITUATION
36050,Thermal design: Min. external temperature,3D function,Minimum external temperature of an enclosure.,Thermal design,Value with unit,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_CABINET_MIN_OUT_TEMP
36051,Thermal design: Max. external temperature,3D function,Maximum external temperature of an enclosure.,Thermal design,Value with unit,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_CABINET_MAX_OUT_TEMP
36052,Thermal design: Min. internal temperature,3D function,Minimum internal temperature of an enclosure.,Thermal design,Value with unit,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_CABINET_MIN_IN_TEMP
36053,Thermal design: Max. internal temperature,3D function,Maximum internal temperature of an enclosure.,Thermal design,Value with unit,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_CABINET_MAX_IN_TEMP
36054,Thermal design: Air-conditioning field,3D function,Number of the air-conditioning field (1 to 100). Is required for calculating the power dissipation.,Thermal design,Integer,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_CABINET_ZONE
36055,Thermal design: Operating current,3D function,Operating current of a busbar. Is required for calculating the power dissipation.,Thermal design,Value with unit,Not defined,No,No,FUNCTION3D_POWERDISSIPATION_BUSBAR_CURRENT
