ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
22000,Trade 'Process engineering',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_PROCESS
22077,Subtrade 'Electrical engineering',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_ELECTRICAL
22094,Subtrade 'Mechanics',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_MECHANICS
22131,Trade 'Electrical engineering',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_ELECTRICAL
22132,Trade 'Fluid power',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_FLUID
22133,Trade 'Mechanics',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_MECHANICS
22134,Trade 'Hydraulics',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_HYDRAULICS
22135,Trade 'Pneumatics',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_PNEUMATICS
22136,Trade 'Lubrication',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_LUBRICATION
22137,Trade 'Cooling',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_COOLING
22158,Subtrade 'Hydraulics',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_HYDRAULICS
22159,Subtrade 'Pneumatics',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_PNEUMATICS
22195,Subtrade 'Lubrication',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_LUBRICATION
22196,Subtrade 'Cooling',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_COOLING
22197,Subtrade 'Process engineering',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_PROCESS
22262,Trade 'Cooling lubricant',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_COOLINGLUBRICANT
22263,Trade 'Gas engineering',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_GASTECHNOLOGY
22264,Trade 'Fluid power (undefined)',Part,The trade determines the technology to be applied or selected.,Trades,Boolean (True / False),Not defined,No,No,ARTICLE_CRAFT_FLUID_UNDEFINED
22265,Subtrade 'Cooling lubricant',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_COOLINGLUBRICANT
22266,Subtrade 'Gas engineering',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_GASTECHNOLOGY
22267,Subtrade 'Fluid power (undefined)',Part,This property can be used to create several subtrades for a trade.,Trades,Multilingual text,Not defined,"Yes, 20",No,ARTICLE_SUBCRAFT_FLUID_UNDEFINED
